"","text","emotion","polarity"
"1","we stopped here with a busour, buwe would have stopped if we wereraveling on our own anyway juso seehe awesome staircase carved ouof a kauriree...iis huge and jusspectacular! there are also other very large and unique carved pieceshawe enjoyed seeing plushe kaurirees outside. there is a gifshophaincludes one of a kind pieces, jewelry, etc. there is also a cafe here as well so you can relax and gea biteo eat. wehoughhe prices were averageo high, buhen again, we only had a few placeso comparehemo.","anger","positive"
"2","the shop owners have a captive audience with buses stopping hereo wash down afterhe capeour - i observedheir service with a foreign couple who were on our bus and was unimpressed withhe gruffness and flippanaitude. this was on a spend of almos$nzd (probably on only $ worth of goods based on prices!). a smile is nooo difficult? in respecohe products on display,hey are impressive, some with impressive priceagsoo. there arehe standardouristy products, buwe were quiteaken with some ofhe woodwork (jusnoenougho make a purchase!). the story ofhe internal staircase was prey cool, bunothinghereo draw me back on a second visiif ever up north again.","unknown","neutral"
"3","plano stop for a coffee andour abouhe shop. the carved staircase ouof a huge , year old swamp native kauri logakes you insidehe log upohe nexlevel ofhe shop, unbeleiveable. the staff are helpful with all needso send any souveneirs you would likeo send home. the restrooms are clean andheres plenty ofoilets. there is no chargeohis araction.","unknown","positive"
"4","whaan interesting placeo visit. i learna loabougum digging which is something i knew nothing abouprioro coming here. you go on a well sign posted walk aroundhe area and read all abouhe history of gum digging andhe ancienkauri forest. the wholehing gives you an appreciation of how oldhe world is! the gumdiggers camp is really well seup, and you even geo see a few native birds and plants. the highlighhaso behe , year old kaurireehawas only uncovered in . it's really good value for money. the lady ahe counter said iakes aboumins buwe reallyook ourime and read everything and spenabouan hourhere. well worthherip ouif u like a biof nature with a history lesson. the walk is relatively easy goingoo.","joy","positive"
"5","i learnwhy gumboots are called whahey are. i learnhe life of a gum digger was nofor me. i learnhahe gumdiggers park was well seup with good signage, a video and examples ofhe various shacks, machinery and processes. i learnhajerry,he lady inhe shop, was mosfriendly, helpful and welcoming. i also learniwas well worthhe visit.","joy","positive"
"6","we visited on a grey day - and readhapeople spend abouan hour...we spenabou /!! an interesting video and informative boards aroundhe place - lots of reading if you wano. paths were easyo follow and we enjoyedhe naturerail - spena while watchinghe piwakawakas fliing around.","unknown","positive"
"7","for uso visihe gumdiggers park was a very informative experience.very well-designed retrospective presentation - great","joy","positive"
"8","rain drove us offhe beach, so slightly bored we dropped in ahis seemingly quirky araction instead. and we lefruly amazed, having learnso much, both abouhe gum-digging industry andhe natural history and evolution of nz. the recendiscovery and excavation ofhose  + year old kauris was awesome. talk abouconnecting withhe past! so gratefulhe landowner is preservinghis for research and future generations. we spenmuch longerhan we expectedo. the owner who was inhe shophaday was a greainspiration. (we never saw any ofhe geckos inheir boxhough, buno maer.)","sadness","neutral"
"9","we stopped here with a busour, buwe would have stopped if we wereraveling on our own anyway juso seehe awesome staircase carved ouof a kauriree...iis huge and jusspectacular! there are also other very large and unique carved pieceshawe enjoyed seeing plushe kaurirees outside. there is a gifshophaincludes one of a kind pieces, jewelry, etc. there is also a cafe here as well so you can relax and gea biteo eat. wehoughhe prices were averageo high, buhen again, we only had a few placeso comparehemo.","anger","positive"
"10","the shop owners have a captive audience with buses stopping hereo wash down afterhe capeour - i observedheir service with a foreign couple who were on our bus and was unimpressed withhe gruffness and flippanaitude. this was on a spend of almos$nzd (probably on only $ worth of goods based on prices!). a smile is nooo difficult? in respecohe products on display,hey are impressive, some with impressive priceagsoo. there arehe standardouristy products, buwe were quiteaken with some ofhe woodwork (jusnoenougho make a purchase!). the story ofhe internal staircase was prey cool, bunothinghereo draw me back on a second visiif ever up north again.","unknown","neutral"
"11","plano stop for a coffee andour abouhe shop. the carved staircase ouof a huge , year old swamp native kauri logakes you insidehe log upohe nexlevel ofhe shop, unbeleiveable. the staff are helpful with all needso send any souveneirs you would likeo send home. the restrooms are clean andheres plenty ofoilets. there is no chargeohis araction.","unknown","positive"
