"","text","emotion","polarity"
"1","usedo be a nice placeo stop and visiand have a coffee, unfortunately inow seemso be jusaourisrap for non-stop coach loads of visitors inhe summer. café service is rather messy and disorganisedo sayhe least, and unableo cope withhe numbers...","surprise","negative"
"2","the food was average nothing special doeshe job. the food was nooo bad for you if you really hungry. staff were helpful.","sadness","negative"
"3","the workshop was closedohe general public. the shop had been renovated, nosure when, buhe large pieces of kauri wood were movedohe very back ofhe building. the building is now aourisrap forhose onheir wayo/fromhe  mile beachour. the wood carvings were gorgeous, buhe prices were outrageous -he leasexpensive item found was a wooden block for soap for $ - and was nomade of ancienkauri wood. there were several carvings on display for over $,, bowls around $ - all beautiful pieces of artisan craftsmanship, buwho is goingo purchasehese works or art? there was no educational displays of howhe wood was carved, nohighlights of a particular artist, nothing. very disappointing.","fear","neutral"
"4","this shop specialises in kauriree wood carved ornaments. high quality oneoo. fromrinketso $ wooden bench. nice coffee shopoo.","anger","positive"
"5","the new owners haveurnedhis place around. the food is excellent, i hadhe quiche, iwas superb. the staff are all very friendly and welcoming. after my fantastic lunch i had a browse aroundhe retail area. the ancienkauri staircase was phenomenal, and iwas amazingo see such beautiful carvings and items for sale - i learna loabouhe native mČori culture during my visit. a young saleswoman helped me findhe perfecgiffor my husband - she was friendly, helpful and an excellenrepresentation of an excellenestablishment.","joy","positive"
"6","whaa hidden gem.. greabreakfast, amazing staff always readyo serve with a smile andop iup with greakauri items.. perfecplaceo spend a morning","surprise","positive"
"7","the staircase carved ouof a kauriree dug from a swamp is amazing. kids loved going up and down it. other arworks available for viewing and buying and café onsite.","surprise","neutral"
"8","this place has an amazing staircase carved ouof aree which is estimatedo be , years old. this is worthhe visit, howeverhe resofhe setup is very dated and a bisad. looks like iusedo be aypicalourisrap bufeels like ihas fallen offhe map. seeheree budon'expecmuch more from a visit.","joy","neutral"
"9","fascinating slice of th century nz history...!! this araction conveys a sense ofhe importance gum-digging had forhe far north inhe early days ofhe nz nation. many parts ofhe site are ashey were lefover  years ago...","joy","positive"
"10","gumdiggers park is a fantastic example of one manryingo preserve something precious and uniqueo new zealand's history - and with no governmenfunding. abou km from doubtless bay inhe northlands and enrouteo cape reinga,his unique find is worth a look if you are into nature and history. don'lehe few kms of gravel road puyou off. the guardian ofhis area, whose wife's family has ownedhe land for  years, has workedirelesslyo preservehe landhasaw people inheir multitudes comeo dig gum,he precious sap fromhe ancienkauriree which was auckland's main exporfor over fifty years. the beautiful gum develops into amber eventually. thousands of gumdiggers floodedhe area inhe s, including huge numbers from dalmatia (now croatia) ando see howhey lived and worked, as well as see many ofhe original holes dug, is an eye-openingriphrough history. as a bonus, visitors are ableo seehe ancienkauriree, possibly felled by asunami, unearthed in . iis anywhere from ,o , years old and is a valuable source of informationo scientists, particularly regarding climate paerns. this is a self-guided walkhrough land which has been lefinhe conditionhe gumdiggers experienced and iis surrounded by native bush and scrub untouched by man - a pictorial on whanz's northlands mushave looked like forhousands of years. aonly ainy $. per adulo explorehis area, wehoughia bargain. toop ioff,he owner is a skilled craftsman, who has fashioned some beautiful pieces of amber and ancienkauri (only from fallen pieces) into jewellery aa very reasonable cost. supporhoseryingo preserve a slice of history.","surprise","positive"
"11","if you are headingo or fromhe capery and makeime forhis very interesting exhibit. you will need - hrshough. this is a self guided walkhrough arue gummdiggers village. full of interesting information abougummdiggers andhe local fauna. and where else are you goingo be ableo walk alongside areehats over , years old!! the gumstore's run by a member ofhe familyhahas ownedhis land for  years,hey really knowheir stuff. they also have an excellenselection of amber awhawehoughwere reasonable prices. this ishe real stuff, nochinese plastic !we really are glad we didn'misshis.","joy","positive"
"12","this is a grealile park and definitely worthhe efforo geheregum digging was such an essential parof nz history. although novery flashyhis park giveshe visitor a sense ofhe hardships and rewards associated with digging inhe dirforhe amber gold bring your own picnic ashere's no cafe","unknown","neutral"
"13","wheelchair access - yes. usual summer season entry fee is reduced in winter.entrance shop sells wide range of ⊘amber⊙ products. the staff is friendly, helpful and knowledgeable. from her, we goinfo abouhe reason forhe colourful ⊘fire hazard⊙ signs, which are noapparently becauseherees spontaneously bursinto flame ashe gumrees do in australia, budueo ill-sited picnic fires and boredeenagers.the site is centred upon a renovated gum diggers' camp andhe showing of a video abouswamp kauris. the site divided into  circular routes -he natural environmenofhe swamp &he gum digging areas. a -, year old swamp kauri is visible in its natural environmen- i.e. lying horizontally inhe soil.both walks have numerous info boards. in our humble opinion, coloured arrows would benefivisitors on self-guided walks. for example doeshe route beginning ahe video sector ofhe gun diggers' camp - starhrough - or -ohe lefof -he gum diggers⊙ shop?the staff recommend  minutes per route and  minutes forhe video - . hours minimum. weookoo many photos and gocaughouryingo filmhe aerial dance of fantails. our perambulation lasted jusover . hours.","joy","positive"
"14","our visiexceeded our expectations. iis ancienkauri foresin a protected natural habitat, surrounded byhe lasindigenous plants and animals ofhe area. inhe centre, an old gumdiggers village gives you a feel for whalife was like. be sureo leaveimeo watchhe shorvideo (- min) inhe village.the gumdiggers actually dug holeso findheree gum. many ofhe holes are alongsidehe well marked path. there is a safety rope, buyou would wano keep an eye on small children.this is one ofhe mosinteresting places we have been in a while, and iwas liked by our entire group, includingeen.","joy","positive"
"15","if you are up northhe gumdiggers park is well worth a visit. the walkhroughhe bush is easy for all ages andhe information signs are well wrien. the minute video is informative withoubeingo mucho absorb. we really enjoyed it. no cafe bucold drinks and ice creams available.","unknown","positive"
"16","this was interesting . . . there was a small shop onhe entrance ofhe park walk . . . . was a nice walk . . bufelhaifhey showed a video on enteringhe walk iwould be of benefio paying visitors . . mussay nice lile place . . .","joy","positive"
"17","following a recommendation fromhe kaitaia i-site we headed north and foundhe gumdiggers park. well worth a visit. a fascinating look into a lile known parof nz history. very well seouwith interesting and informative displayshroughouhe park. the owner washere and his passion forhe place shonehrough.","joy","positive"
"18","very interesting place with history of digging for kauri gum in northland. lovely walkhrough bush, good path.","joy","positive"
"19","had a goodime here. very interesting and a nice shop. the kids were fascinated and we all learned alot.","unknown","positive"
"20","this is an interesting placeo visit, an authentic gum digging site wherehe gum holes have been well preserved. greao see an aractionhaisn'overly ""commercialised"" and kepin its natural state. very informative signs around allhe various areas ofhe camp. very easyo walk around with paths kepin very good condition, bustill keepinghe environmennatural looking. iis a pityo seehe damage parts ofhe park suffered inhe july  storms, a loof damageo ti trees. buhis still does noaffeche overall araction ofhe park. good video, showing history of gum etc. interesting gumdiggers village and gum store. we felhe priceo look aroundhis araction was excellent. well worthhe visit.","joy","positive"
"21","to seehese old gumrees buried inhe swamp,o witnesshe harsh live of people inhe past, you really feel like you can connecwithhe pasaandhe massiverees. informative and fun ahe sameime.","joy","negative"
"22","i had beeno an excellenkauri museum inhe pasbuwalking around gumdiggers park really made clear whahe gumdiggers had been doing and how and why. i also now know why gumboots are called gumboots!","unknown","positive"
"23","so impressed byhe gumdiggers park. learning abouhe massive fallen kaurihere was mosinteresting. i had never previously appreciated where kauri gum came from andhe challenging life ofhe gumdiggers. gumdiggers park has created aourisaraction with good parking, cleanoilets, a pleasanstroll - andhey have done allhis with minimum impaconhe environment. iwasn'aboucafes and gifshops (thoughhere were souvenirs on sale). iwas aboua non-commercialisedrip back inime. refreshing. well worth a visit.","joy","positive"
"24","usedo be a nice placeo stop and visiand have a coffee, unfortunately inow seemso be jusaourisrap for non-stop coach loads of visitors inhe summer. café service is rather messy and disorganisedo sayhe least, and unableo cope withhe numbers...","surprise","negative"
"25","the food was average nothing special doeshe job. the food was nooo bad for you if you really hungry. staff were helpful.","sadness","negative"
