"","text","emotion","polarity"
"1","this is an experience noo be missed if you are inhe far north. gumdiggers park has been very well seup and preserved for future generationso experincehe gumdigging days which inhe begining would have beenhe catalysof progress inhis area. i could nobuwonder howhese people would have survivedhe harsh environmenlealonehe effortshahese gumdiggers weno inheir queso etch oua living. mosofhe surrounding land was purchased fromhe crown byhese hardy people andoday iis ahriving community with many diverse activitiesaking placeoday. gumdiggers park is worth a visifor all ages.","unknown","positive"
"2","for uso visihe gumdiggers park was a very informative experience.very well-designed retrospective presentation - great","joy","positive"
"3","we had a fantastic day geing a privateour of greaexhibition bay with malcolm. the beach is amazing (one ofhe beswe've ever come across), malcolm is a greaguide and food provided wenwe'll above whawe were expecting. would definitely recommend.","surprise","positive"
"4","greawayo gesouth, saves quite a biofime, andherip downohe ferry fromhe north was beautiful. easy and efficient. greaviews while youakehe shorrip accross.","unknown","positive"
"5","the ferry goes once per hour and we were one ofhe lascarso make ievenhough we werehere  minutes beforehe departure. shorrip, no services onhe ferry. clean and well maintained, safetyaken into account.","surprise","neutral"
"6","my small group ofhreeourists visited clendon house in rawene (a small, unimpressive locale,ruth beold) one lazy afternoon, noreally knowing whao expecotherhan beautiful gardens and an old house probably filled with portraits and historical posters. imagine our deligho find ourselveshe sole visitors andhe audience of a welcoming, captivating guide who shared with ushe fascinating story ofhe clendon family. beforeurning us looseo wanderhroughhe house, he saus down around aable arranged with family photos and documents andold us detailshawe moslikely never would have heard had we visited on a busier day. later, as we stood onhe porch preparingo leave, he pointed ousome ofhe plants which were unfamiliaro us, and we discoveredhahe had started oumany years ago ashe gardener aclendon house. how fortuitous for clendon house (and for us)hahe never left.","joy","neutral"
"7","my party of  yanks &  kiwi visited clendon house as parof a + km wander aroundhe north island. iwas a beautiful day and we were fortunateo behe only visitors aheime, so we hadhe undivided aention ofhe hos(very sorry i did nogehis name), who saus down ahe kitchenable and gave us a very interesting rundown ofhe clendon family, its importanceo early new zealand, and whahe family was like. wehen were invitedo wander on our ownhroughhe house buhe remained reasonably close ahando answer our questions. i don'remember whawe paid buwhatever iwas, iwas worth it. we lefwith grearespecforhe family (especially mama jane) and forhe dedication ofhe hosandhe historic trusin maintaininghis site in a proper manner. i certainly recommend io other visitors and find myself continuingohink ofhis family andhe pioneering rolehey played.","joy","positive"
"8","seoffhe main road,he view is lovely,he volunteer historian really broughhe placeo life as heold us aboucaptain clendon, his young maori wife,heir eighchildren andheirrials andribulations. worth supportinghis heritage building.","unknown","neutral"
"9","truly majestic andhe legend is so very beautiful. such a serene yepowerful place - you can almoshearhe foresspeakingo you... our recommendationhough, ishayou plan youriphere and back well.we ended up being ridiculously loslol :)) buhad fun regardless :))","unknown","positive"
"10","nothing prepares you for coming aroundhe corner onhe protective raisedrail and you see magnificentane mahuta. photos juscan'conveyhe presence. no wonderhere are offertory songs.","joy","positive"
"11","jusamazing-can'describehe grandeur and beauty ofheree. the surroundingrees,ferns etc addohe initial impachisree has on you as well ashe birdlife.","unknown","positive"
"12","absolutley stunning. we have by passedhis araction manyimes budeterminedo see tane mahutahisrip and so glad we did. the whole area is stunning, a wonderfulreasure in new zealand.","joy","positive"
"13","our guide madehis a fascinating visias he clearly both loved and respectedhis wonderfulree and he made our experience both interesting and moving. we noticedhroughouour stay how much reverencehe maori showowardsheir heritage.","joy","positive"
"14","in new zealand and australia every lile village has a visitor and information center. iis a very nice gestureowards allheourishaare flooding new zealandhese days andhey are a greahelp forravelers. thagoes for hokianga center as well. good information and nice staff.","joy","positive"
"15","the wescoasof nz's north island is relatively quiein contraswithhe eascoast. this visitor centre was a deligho visit. even its souvenirs for sale were novel & interesting. the girl who served us was very knowledgeable noonly abouhe immediate area, bualso abouhingso see and accommodation closeo auckland. she provided possiblyhe besservicehawe had aany i-site anywhere inhe north island. she was a real helpo us and a deligho deal with.","unknown","positive"
