"","text","emotion","polarity"
"1","this is predominantly a retail outle- with aached cafe - budoes have some interesting pieces of furniture for sale and a magnificenstaircase constructed from a single kaurireerunk. if you have $us.mo spare ican be yours.","unknown","positive"
"2","fascinating slice of th century nz history...!! this araction conveys a sense ofhe importance gum-digging had forhe far north inhe early days ofhe nz nation. many parts ofhe site are ashey were lefover  years ago...","joy","positive"
"3","i was surprised ahow interestinghis simple family run site is! the owners have a real passion forhe preservation ofhe history and stories ofhe gumdiggers as you wander aroundhe park boasting an unearthered kauri of approx , years old!","surprise","positive"
"4","loved every minutehawe werehere. the hoswas absolutely amazing... he has gone above and beyondo create an authentic experience. thoroughly recommendo anyone wantingo knowhe early history ofhe area. thanks so much for leing us comehrough when you were closed, we really appreciated it!","joy","positive"
"5","cameo gumdiggers for a family day ouand iwas well worthhe visit. we allhoroughly enjoyed our visit. will definitly be back again soon and will bring otherso showhemhis hidden jem.","unknown","positive"
"6","wow! whaa hidden lile gem of a park! very educational, staff was highly knowledgeable and friendly evenhewoeenagers who are hardo entertain loved i:) and learna loof northland history","joy","positive"
"7","wenas parof an organizedour with my wife and daughters. there wasna whole loo see besides numerous holes. our daughters likedhe gum diggers homes andhe amber inhe shop. juswishhere had been more highlights.","unknown","positive"
"8","the site is very interesting, with a loofhingso view ando learn abouhe natural history of new zealand and it's economy inhe past. we spenherewo relaxing hours walking inhe wood, guided by a complete seof panels with allhe necessary information. we also looked aa very interesting video.the only poinhashould be enhanced regardshe general status ofhe site: you havehe impression of a very good work, done many years ago and nowell maintained. it'sime forhe managemeno invesin renovation. only forhis reason i don'assignhe maximum score.","anger","positive"
"9","stopped here as parof dune riderour a gem of an aractionfascinating insighoheir life do nomiss seeingheree and reading abouhe history ofhe area","unknown","positive"
"10","this stop off was parof our explorer dune rider experience and i am glad iis included. we had a leisurely stroll aroundhe  year old park and groundsaking inhe kauri loghais dated back ,o , years old. this historical place is unique and i highly recommend iif you are a history buff.","joy","positive"
"11","our family weno gumdiggers park for a morningo do something otherhanhe beach. the woman inhe shop was incredibly helpful and knowledgeable abougumdigging and shared many facts with us before we headed ouintohe park. withhe araction being completely outdoors, iwas nicehaa good portion of iwas covered byrees bui would recommend hats and sun lotion. we all had a greaime readinghe signs and exploringhe park, looking ahe kaurireeshahad been uncovered and seeing howhe gumdiggers lived. there were some hands-onhings forhe kidsory and a campsite seup for uso lookhrough, as well as an informational movieo watch. all-in-all, if you are looking for somethingo dohais closeo kaitaia, outdoors, interesting and fun, i recommend spending a couple of hours exploring gumdiggers park!","joy","positive"
"12","if you are up northhe gumdiggers park is well worth a visit. the walkhroughhe bush is easy for all ages andhe information signs are well wrien. the minute video is informative withoubeingo mucho absorb. we really enjoyed it. no cafe bucold drinks and ice creams available.","unknown","positive"
"13","sawhe sign so stopped ino break uphe driveohe cape, and we were pleasantly surprised by how goodhis araction was! cheap entry price, and we spenabouan hour walking around a very well seouselection of exhibits whilsgeing a good dose of fresh air, and learning some new information abouhe history ofhe area. definitely recommendo anyone interested inhe history ofhe kauri gum diggers, anyone interested in learning abounewhings, or jussomeone wanting some fresh air and a small walk.","joy","positive"
"14","we havehree young children ages ,  and . we only stopped for a quick stop and ended up staying  / hours. very interesting and everyhe kids loved it. recommendhis stop for a step back in history","unknown","positive"
"15","the staff was very helpful and leus in despite us arriving laterhanhe last-entryime.the exhibition could be modernised (especiallyhe video) buis anyway very interesting. iakes abouho walkhrough everything, allhe while breathinghe gorgeous resin smells. a nice break onhe wayo cape reinga!","anger","neutral"
"16","following a recommendation fromhe kaitaia i-site we headed north and foundhe gumdiggers park. well worth a visit. a fascinating look into a lile known parof nz history. very well seouwith interesting and informative displayshroughouhe park. the owner washere and his passion forhe place shonehrough.","joy","positive"
"17","had a goodime here. very interesting and a nice shop. the kids were fascinated and we all learned alot.","unknown","positive"
"18","hazard and an old man in a café gave mehalosplace... wonderful entry. very interesting parc. aboukauries, geology, gum diggers activities. sad: istays few botanic informations in good condition (so few places offershain new zeland). i would be interested for more human relations along my visiinhe parc. alone, raining...","joy","positive"
"19","excellenshorour of some gum diggings. includes a , year old kauri worth $,. this is included inhe  mile beach tour.","unknown","positive"
"20","the park has a nice walking loop with artifacts and a recreated village fromhe gumdigging era. the video presentation is interesting and provide good historical information andhe shop has some good amber displays","joy","positive"
"21","dynamic and informative experience. allhe info aroundhe park is well worth reading andaking all in. we enjoyed our experience and have nothing bado say abouit.","unknown","positive"
"22","we foundhis by chance and iwashe mosfascinating stop on ourour aroundhe far north. we expected io be more expensiveo go around iand were gratefulhaiwas $ an adul-hanksoheeam forhis price and makinghis an affordable must-do. very interesting history of howhe family re-discoveredhe area as well as a very educational and interesting walkhroughhe historical diggings. , year old kauriree..... amazing. totally recommendhis.","surprise","positive"
"23","we stumbled acrosshis lile gem and were admied for a measly $ after an enlightening chawithhe knowledgeable chap onhe frondesk. lotso see and read ... fascinating biof local history righon our doorstep. yes,here are a couple of other places offering a look aold kauri buhis is really an archaeological dig w a reconstructed gum diggers camp and very old kauri ... some still insitu. my husbandalked abouinonstop for a week! :)","joy","positive"
"24","parof aouro cape reinga. very informative and well seup. seeinghe history ofhe area andhe wayhe gumdiggers worked and lived was very interesting.","unknown","positive"
"25","rain drove us offhe beach, so slightly bored we dropped in ahis seemingly quirky araction instead. and we lefruly amazed, having learnso much, both abouhe gum-digging industry andhe natural history and evolution of nz. the recendiscovery and excavation ofhose  + year old kauris was awesome. talk abouconnecting withhe past! so gratefulhe landowner is preservinghis for research and future generations. we spenmuch longerhan we expectedo. the owner who was inhe shophaday was a greainspiration. (we never saw any ofhe geckos inheir boxhough, buno maer.)","sadness","neutral"
"26","awesome history, lots of hands on stuff. lovedhe gianlog andhe naturaleatree paths. gumdiggers huts were cool! lots of interesting plaques and good video story.","joy","positive"
"27","so impressed byhe gumdiggers park. learning abouhe massive fallen kaurihere was mosinteresting. i had never previously appreciated where kauri gum came from andhe challenging life ofhe gumdiggers. gumdiggers park has created aourisaraction with good parking, cleanoilets, a pleasanstroll - andhey have done allhis with minimum impaconhe environment. iwasn'aboucafes and gifshops (thoughhere were souvenirs on sale). iwas aboua non-commercialisedrip back inime. refreshing. well worth a visit.","joy","positive"
"28","this is predominantly a retail outle- with aached cafe - budoes have some interesting pieces of furniture for sale and a magnificenstaircase constructed from a single kaurireerunk. if you have $us.mo spare ican be yours.","unknown","positive"
"29","this isn'jusa atv ride onhe mosbeautiful beach you have ever seen. iis a magicalourhrough pristine forests with wild horses and convoluted sand dunes makinghisrip an atv rider's logistical dream.the owner and our guide malcolm, was a joy and pleasure. we consider him a friend after jusspendinghree hoursogether.we can'waifor a returnrip!","joy","positive"
