"","text","emotion","polarity"
"1","whaan awesome lile motel... definitely worthhe amouni paid for. staff here are really friendly. very clean room,idy and comfortable bed, linen was 'crispy clean'otally lovedhis motel...spa pool, swimming pool, trampolines... my grandsonotally loved ihere... thankyou for squeeezing us in ashornotice during peak season, much appreciated we will definitely stay again!","joy","positive"
"2","this griyown has few amenities and a number of motels, of whichhis is one.of itsype iis perfectly fine containing allhe usual equipmenalong with wifi. whalifts ia wee biabove is offer of a cooked breakfas(costs extra). a good wayo starhe day, with a menu you selecitems onhe previous day. good bacon done scoish style ratherhan bits of streaky crispedo nothingness.","joy","positive"
"3","we had a fantastic stay here for  nights and would stay again no worries. caughhe harrison'sour busohe cape and down  mile beach. well worthherip. thankyou loredo you arehe best. and breakfaswas yummy.","surprise","neutral"
"4","washere for one nighon myripohe far north. nice room, bath room anderrace, with nice views ofhe surroundings. i've seen forhe same price even beer places here in nz, buit's worthherip. bruce and jacqui were very nice hosts, with good advices for food anight. the breakfasinhe morning was also very good. would stayhere again on anotherripohe far north.","joy","positive"
"5","washere for one nighon myripohe far north. nice room, bath room anderrace, with nice views ofhe surroundings. i've seen forhe same price even beer places here in nz, buit's worthherip. bruce and jacqui were very nice hosts, with good advices for food anight. the breakfasinhe morning was also very good. would stayhere again on anotherripohe far north.","joy","positive"
"6","this was a highlighof our nzrip. we booked in onhe strength of other tripadvisor reviews and weren'disappointed. the room was spacious, lighand airy, immaculate and comfortable. the house is beautiful and bruce made us so welcome we really fellike parofhe family. (jackie was away.) he cooked us delicious meals andook us on an excursiono  mile beach, found wild horses for us and showed us houhora heads. he gave us good advice abouwhereo go on our own explorations and senus on our way with bags of fresh produce from his garden. this place is noonly perfectly locatedo explorehe far north buit's probablyhe moscomfortable and inviting placeo stay onhe whole peninsula. we feel blessed.more","joy","positive"
"7","we stayed in cavalli beach resorforwo nights. the hospitality we received fromhe hosts (carrie and richard) was outstanding. the food was amazingoo fromhe world-class chef's kitchen!!! we highly recommend cavalli beach house retreafor each one of you....this place is so beautiful.","unknown","positive"
"8","five stars! cavalli beach house resorisruly exceptional and highly recommended. our jaws dropped afterhe location was unveiled in person amonghe gorgeous bay of islands – its beauty was always a surprise and was allhe more impressive inhahe resorfeels very private and exclusive. make sureo wake up early and watchhe sunrise with coffee. we spenparof our honeymoonhere duringhe lasopenime sloin mid-may and couldn’have been more impressed byhe seing, accommodations, and hospitality. carrie and richard, our outstanding hosts, made us feel very comfortable, cooked us excellenmeals, pointed us inhe perfecdirection in regardso regional activities, and also shared in some greaand genuine kiwi conversation and humor. we were genuinely pleased and will do all we cano surely return someday.","joy","positive"
"9","stayed herehree years ago and greatly enjoyedhe experience; so we decidedo returnhis year ahe starof february. as previously, we had a fantasticime; carrie and richard work incredibly hardo ensurehaeveryone enjoysheirime withhem. stay here, it's hardo imaginehaanyone could be disappointed.","unknown","positive"
"10","cavalli beach house retreais a very special place. you will feel instantly ahome andaken care of dueohe fabulous hosts - carrie and richard. we especially love allhe lileouches inhe rooms -hey havehoughof everything you will need. the breakfasts are so much fun andhe food is delicious. we have beenwice and are already planning our nexvisit. go with your loved one - escape from work and city life for some much needed unwinding and regeneration -his ishe place for you.","joy","positive"
"11","picture perfeclocation. spacious room with an enormous balconyo enjoyhe stunning views. carrie and richard are wonderful hosts - knowledgeable & helpful. fabulous food - generous breakfasts & dinnerhe firsnighwas so good, we choseo dine in-househe second night. greao seehe emphasis on using quality local produce as much as possible.","joy","positive"
"12","spenhe weekendhere, should have been longer, greahosts, greabeds, amazing meals, richard and carrie can nodo enougho ensurehayou enjoy your stay. with views fromhe moon risingo open your eyes inhe morning,oryingo eabreakfaswhile looking acrosshe bay. you are almoson another planet","joy","positive"
"13","weravelled nooo far away from homeo an idyllic seing acavalli beach house, we were greeted on our arrival and madeo feel very ahome - nothing wasoo much of an issue for richard our host. we had  nightso resand relax which is exactly whawe did. the bed was very comfortable,he room was simply divine andhalarge space welcomed. we wandered alonghe beach, did a biof rock hopping and climbingohe nexbay - fabulous views and a greaprivate beach. caughup withhe locals ahe cafe/bar onheop ofhe hill for a drink and a very large bowl of very fresh chips - yum!! weravelled into mangonui forhe day on and explored various option for lunch - all great. we will be backhankso carrie and richard...","joy","positive"
"14","we and our friends began our month-long visio nz acavalli beach house, and isehe measuring guide forhe remainder ofherip. carrie and richard arehe perfechosts, greasenses of humor, and really made us feel ahome. carrie's food was fabulous! we greatly enjoyedhe beach and kayakingheir quiebay, and we hikedohe ""trig"" for stunning views ofhe area. iwas also close of kauri cliffs golf club, which all of us played and very much enjoyed.","joy","positive"
"15","this is a small b&b with greaviews ofhe inleand hills. the sunsefrom in fronofhe lodgings was fantastic. the local ferry crosseshe inlejusalonghe streefromhe lodgings. near by is an old courthouse ( nowhe library), and jail. there is a shop for groceries near by, a hotel,ake away, and chip shop. you will needo look no further for an evening mealhan by booking withhe owners ( jon and dorothy). you musbook in advance as we arealking abougood, home cooking. dorothy phoned onhe dayo ask re. our choice of menu. we had a lovely chicken with plum/brandy sauce and desser(  courses for  a$ per head). jon has some excellenwines- i can recommend his pinogris ( $), one ofhe besi've had in our ripso new zealand. we were made very welcome, jon and dorothy are good hosts. we ate withhem. there is a guessnug/siing room,ea and coffee are free and a lile kitchenee. the bedroom was en suite and furnishedo a high standard. cosper nighwas $ for us as a couple usinghe bedroom withhe four poster bed. there is a choice of breakfasts $ each. we enjoyed a 'continental' breakfaswith a full fruiplaer, muesli , yoghurt,oas(he marmalade was superb!),...","joy","positive"
"16","beautiful well appointed rooms ( a fireplace inhe bathroom!!), friendly people, amazing views and decor. authentic period furniture, fabulous views, excellenfood and quite a biof laughter inhe evening!","joy","positive"
"17","sawhere were vacancies and stoppedo inquire around :. dreadfully rude fellow answeredhe door. insulted my wife multipleimes in a span of  minutes. told herhashe wouldn'be interested in payinghe room rate. recommended a campground uphe streeso weook our bitcoin fortune uphere wherehe staff was super nice.","fear","neutral"
"18","i cannorecommendhis highly enough. the room was luxurious and quaint. artwork and decorations helpedo makehe space welcoming and relaxed. aallimes i was madeo feel welcome. the postmistress' breakfas(full cooked) was yummy. a nice wayo starhe day.","unknown","positive"
"19","we stayed  nights apostmasters lodging and enjoyedhe quirky charm, uniqueness and differenexperience. john and dorothy are friendly and entertaining and john has a very good wine cellar and loves a chat. rawene is very small buplentyo look awithhe coming and goings ofhe ferry and shordriveohe hokianga harbour area.","joy","positive"
"20","we love northland,he mosunderrated parof nz. iseems churlisho criticise as ifinds its feewith increasingourism here, but...- we weren'oldhere was substantial building work going on andhaa wok would staraccompanied by loud music. surely ,managemenwould make ia conditionhaportable music shouldn'be on site aa holiday hotel?- our rooms have araingular gable window with no curtain or blind. come ,he lighstreams in. why???- breakfaswas really disappointing. undercooked fay bacon, inedible greasy sausages, luke warm water from ahermoso dabble yourea bag in while you stand aaable waiting for io brew, if iever does, no milk onheables, cookedomatoes ruined by being covered in cheese (abreakfast, really, why?), no fresh fruilefwhen we arrived a, and breakfasfinishes a (probably ok as you're awake anyway courtesy ofhe builders.- and don'followhe signs fromhe roomsohe restauranfor breakfasas you will only arrive aa series of locked doors and haveo retrace your stepsohe reception area.it'she smallhingshamakehe difference in hospitality, as any copthorne franchise should know. come on people, makehe difference and we will be back.more","joy","positive"
"21","we had one nighhere in ordero dohe footprints tour and we had a wonderful stay. the staff were so friendly and helpful,hey openedhe kitchen earlyo givehe kids food beforeherip,he food was great, our meals were ready when we goback fromherip (which was also greabtw) andhe place is amazing. we had a really clean, simple double room unit, righnexohe sea,he views were amazing,he breakfasgreat. all in all i cannorecommendhe wholehing enough - stay here, dohe footprintsrip - you'll love it!more","joy","positive"
"22","we were impressed withhe friendliness ofhe staff here. annalia on reception was particularly kind and helpful. this good hospitality addedohe enjoymenof our stay with greaviews and good photo opps","joy","positive"
"23","we bookedhe hotel jusfew hours earlier because being low season availability is huge.  nzd per nighis definitely a greadeal. property is nice and located overhe sea. staff is wellrained, smiling and super friendly. they're really proactive in anticipating your needs. rooms are large and well maintained. probably rooms lack a lile biof personality buhey are clean and comfortable. balcony and view overhe sea are nice plus we really appreciated. main flaw ishe lack of wifi inhe room. abourestaurant, staff is again superb and very friendly. food size are generous and quality is good.quality/price ratio is excellenforhe stay.","joy","positive"
"24","whaa grealocation with stunning views, comfortable beds and good restaurant. the down side washe fachahe floor inheoilehad nobeen washed in quite a while as perhe visible splashing around and under it. the constantly overflowingoilewhich over a shoramounofime would have negated any aemptso conserve water by nowashingowels etc. this was reportedo reception along withhe mess buheoilewas still running hrs later. why areowels replaced whenhey are hung up indicating do noreplace.electric blankets placed on a bedhe wrong way around sohe controls cannobe accessed.more","joy","negative"
"25","stayed here while onhe tour of nz bike race. yes we completely bookedhe place ouashere is lile alternative inhe vicinity. it's a nice location andhe rooms were niceoo with ours opening ouontohe fronlawns. i jusgehe impressionhey knowhey have a captive audience and as suchhey jusdon'seemory as hard ashey should. the kitchen in our room is in dire need of an upgrade as arehe items suppliedo use inhe kitchen. why supply a microwave bunothingo pufood in ietc.its lovely here and i don'know whawe paido stay as iwas parofhe accommodation package bui don'feelhey offerrue value for money.ate a buffestyle meal provided byheour organisers. food was average. preferredhe restauranoptionhai've had on a previous tonz visit.incidentally we were highly amused on our return homeo seehe airnz safety video was filmedhere.more","fear","neutral"
"26","we spenone nighhere as parof an organisedour of new zealand. iherefore have no idea whahe cosof our room was buhaving looked ahe hotel web site before seing ouon our holiday was astonishedo findhawe were in whalooked like a s motel block with furnishingso match. ihink we may have been givenhe roomhaanother reviewer complained abouin  wherehe surroundohe bathroom sink had distorted very badly (presumably dueo water damage) and a section ofhe surface had come away which was noonly unsightly bupotentially unhygienic. there was also a loof whalooked like mould roundheop ofhe bath ahe shower end. there was no air conditioning system inhe room and iproved impossibleo geany decenventilationhus making for a bad night's sleep in a stuffy atmosphere. the bed however was comfortable andhe room had a pleasanoutlook overhe beach. there is in room wifi (aa cosof $) which i reluctantly agreedo pay for ashere were a number of issues back homehai neededo keep upo date about. the wifi worked prioro dinner buafter dinner when my wife and i had goneo bed and wantedo catch up on emails we found ihad stopped working and was...more","joy","negative"
"27","average standardryingo look upmarket. meal arestaurannooo good. worsshrimp cocktail ever and poor responseo complain- jus""that's howhey are"". also no idea howo make a margarita or a mojito evenhoughhey advertisehem. views good!","joy","negative"
"28","whaan amazing location onhe edge ofhe estuary over lookinghe huge sand dunes onhe opposite bank. large room and lovely restaurant. gloss jusaken off byravellers needs such as no safe in room, no hangers in wardrobe, no suitcase jack and chargeable internehen credicard surcharge on bill.more","surprise","neutral"
"29","stayed one nighhere. grealocation onhe beach. you will have very limited choices ininy omapere. sea view room was large with a large outdoor balcony. bathroom was ok buhadn'been carefully cleaned. if you need a placeo stay for a nighinhis area and don'expecoo muchhe copthorne may fihe bill. thasaid,he hotel needs a serious upgrade. this is noa resoror a destination hotel. this is a placeo spendhe night. go withhe righexpectations and you'll be ok. ihinkhe price is basically fair for whayou get. did noeahere. restauranis pricey and we jussuspected noworthhe money givenhe appearance ofhe resofhe hotel. buidoes have greaviews soake a look ahe menu and you may feel differently.more","sadness","negative"
