"","text","emotion","polarity"
"1","this is a basic motel with nice spacious and clean rooms. very friendly receptionist.here is even a pool/spa, which we did nory, bukids seemedo love. price was a bihigh ashe wifi did noeven work","joy","positive"
"2","stayedwo nights while in kaitaia for work recently. motel was good and had everything basic we needed. proprietor was very accommodating as we hado change ourravel plans a couple ofimes and even helped us find alternative accommodation when we showed up a day early ashere was noenough rooms available. if you are budgeconscioushis is a greano-frills placeo stay.","joy","positive"
"3","greaplaceo stay forhe price. our room was very clean andhe beds comfortable. iis onhe main road north buraffic noise was noreally an issue, despite road-works occurring righoutsidehe motel.no restaurant, buas kaitaia isn'hugehere are good ones close by.pick-up poinfor petricevich's dune rider busripo cape reinga which was a$ nzd was greavalue.","joy","negative"
"4","we have had  nights as a ""base camp""o explorehe far north. greaand friendly hosts. the rooms were spacious, clean and quite. all you needo relax. iwashe firsone ofhe ""host"" ones, all ofhem have had a above average standard, and were more or less our firschoice. would bookhis one again.","joy","neutral"
"5","i stay here as firschoice when working up north. free wifi. friendly hosts, quieclean rooms. plenty of parking ifowing arailer. skyv. rooms have good kitchens if you wano make a meal otherwise its nooo faro the bushmans huor kfc for dinner.","joy","positive"
"6","firsime in kaitaia. work bookedhis as iwashe only place inown left, however iwas clean, comfortable, and biggerhan expected.all amenities as expected, and warm welcome upon arrival.didn'geimeo usehe spa or anything, builooks like a greabase for exploringhe far north.","joy","positive"
"7","fromhe outset,his motel had scruffy look abouit. iwas obviously styled afterheype of motel you would find onhe historical american route  (and yes i haveravelled it). iinsidehe rooms, idid nogemuch beer. the crockery, kele and coffee filter apparatus were all dirty and badly stained, requiring a washing beforehey could even be used. onhe plus side, ihadwo complimentary (stale) biscuits andwo packets of (awfulasting) filter coffee. iis rated as a ¬ω star motel, bureally, ihink ideserves only ¬ω. noaall good value for money.","joy","neutral"
"8","we stayed ahis motel for  nights in december and were madeo feel welcome byhe staff who were so friendly and accommodatinghawe intend booking a couple of nights ahe end ofhis year. nothing wasoo much bother andhe pool was such a blessing givenhe howeather. the place was clean andidy andhere were plenty of beds. although room service was available, we choseo maintain our rooms ourselves and with allhe swimming, extraowels were provided. thanks kauri lodge - we will be back.","anger","positive"
"9","the rooms are straighforward buhave plenty of room. iwas jushe  of usravelling and we ended up booking a family room as iwas one ofhe laslefso had plenty of room! the hosts are juslovely people and nothing wasoo much effort.","unknown","positive"
"10","we bookedhis hotel because of a deal iwas having a capeour included withhe stay a$ forwo adultswo nights stay and a dayourohe cape so ihoughmoney wisehis is awsome! buhoweverhe lady ahe reception was confused on our booking when we arrived she was old so didn'wano pupressure on her she expected uso pay cash buwe had booked using a credicard so we asked if she could use our credicard details she could'nfigure ouhowo usehe machine so lucky we had a biof cash on hand we were ableo pay, later finding oushe had a eftpos machine :) buwe are nofussed...he.v is wiredo freeview nosky, room wasidy and service is good. buifeels gloomy and boring kinda like you don'wanna go back and relax in your room jusa placeo sleep really.......more","joy","negative"
"11","this is a lovely place and jacqui was a greahostess. breakfaswas greaand relaxing andhe rooms were spacious andidy. we had a grea days here and stillhink abouhe views andhe friendliness we encountered.","joy","positive"
"12","this is a lovely place and jacqui was a greahostess. breakfaswas greaand relaxing andhe rooms were spacious andidy. we had a grea days here and stillhink abouhe views andhe friendliness we encountered.","joy","positive"
"13","this is a lovely place and jacqui was a greahostess. breakfaswas greaand relaxing andhe rooms were spacious andidy. we had a grea days here and stillhink abouhe views andhe friendliness we encountered.","joy","positive"
