"","text","emotion","polarity"
"1","we stayed inhis spacious accommodation in kerikeri, inhe bay of islands. ihad allhawe could desire. our hosts couldn'have been more welcoming and helpful. nothing wasoo muchrouble forhem. the location was ideal for whawe wantedo achieve withinhis area - ready accessohe many islands, historical and cultural seings and fine restaurants. adrian and silvia (our hosts) were rightly proud of property and were keeno share with usheir passion for horses, carriages and vintage cars. adrian breeds horses and has one ofhe finescollection in new zealand. iwas a real pleasure and education listeningo him.","joy","positive"
"2","stayed for labour weekend with my family and our dog - easyo find (literally  mins outside kerikeri center), friendly welcome, clean and spacious accommodation.the accommodation was comfortable for four adults withwo bedrooms,wo bathrooms and a well equiped kitchen for self-catering;here are also good food options nearby in kerikeri. the horses were friendly and had no issues with our dog (or vice versa!). weook kayaks with us and launched fromhe jey onhe propertyo kayak on kerikeri river. adrian and sylvia are very nice hosts.","joy","positive"
"3","this is an idyllic rural locationo relax in, surrounded by shire horses with a lovely scenic view ofhe inlebelow and well positionedo explorehe bay of islands. our hosand hostess, adrian and sylvia were very friendly, informative and accommodating of all our needs and iwas a specialreao beaken ouon a horse drawn carriageo kerikeri. a specialhanks alsoo roy whoendershe horses. this has been a very relaxing and enjoyable holiday with family forhe pas days and we are happyo recommend it.","joy","positive"
"4","the location is outstanding! you cannogecloserohe waterhanhis, peace,ranquility inhe mosstunning surroundings all facilities are  star. marsden cross is a  minute drive! the fishing is awesome,he hosts are exceptionally hospitable! i would sayhis is an awesome spofor a family getaway, a couples retreat, friends going fishing or an reunion of any sorts! jusawesome for any occasion! grearateshrough winter. will be booking for nexsummer. thanks michelle and ash and boys!","unknown","positive"
"5","my brother and i goo enjoy  nights ahe bay of islands health retreaashe major spoprize i won ahe rotorua off road half marathon. i could norecommendhis retreaenough. the owners pip and pete are amazing. they were extremely helpful and knowledgeable abouallhings food and fitness. they were awesome hosts.my brother and i enjoyed delicious healthy wholesome meals of restauranquality, exploredhe local areahrough native bush walks, participated in group fitness sessions and relaxed inhe spa and sauna facilities and enjoyed a rewarding massage.thank you guys so much for having uso stay. we will be back again. /!","joy","positive"
"6","my wife and i booked a week inhewo bedroom apartment, looking for somewhereo relax and enjoyhe area around kerikeri. we were welcomed byhe hosts pip and pete, and immediately felahome inhe superb accommodation which boasts quality fixtures and fiings, and is maintainedo a very high standard. our room opened ontohe pool area, with loungers and outside seating, andhe in ground spa was a bonus. there were some provisions provided, including excellenlocally made muesli and a good selection ofea and coffee. options include a full program of fitness and healthy meals provided, and although we did noakehe food, we did sample some of pip's homemade snacks which were delicious. the fitness facilities are firsclass, and pete has done a greajob onhe outside 'boocamp' course. wehoroughly enjoyedhe cycling, kayaking and riverside walk as additional activities, as well ashe on-site gym equipmenand professionalraining and advice.this was one ofhe besexperiences we have found in nz, we have already shared iwith friends and look forwardo a return visiinhe future.","joy","positive"
"7","pip and pete were very friendly and helpful. makinghe booking was easy andhey were very accommodating when we neededo make changeso our booking a week prioro our arrival. they even offeredo pick us up fromhe airport!the accommodation was new and clean, and amenities wereop notch. and inhe kitchen was a magic bullet... with frozen berries and coconuwater inhe fridge for uso make healthy breakfasshakes! we alsoook advantage ofhe group classes which were fun and enjoyable even for a first-timer like me and yes, my fitness fanatic husband was in his element.one minor hiccup was having a cold shower onhe firsnighafter a very relaxingime inhe spa. this was dueohe howaterank nobeingurned on. the hosts were very apologetic and informed ushahis has never happened before. and i'm sure iwon'happen again bui'd say it's worthestinghe howater before jumping inhe shower, especially in winter.overall, we had a greaime!we will definitely be back for more ptme and strongly recommend io anyone who is looking for a relaxing getaway, an effective fitness camp or a biof both.","joy","positive"
"8","the  degree views from terry's house areruly amazing. iwas a greaplace for uso relax on a choice of verandahsaking inhe views and reading or eating or sipping wine on large comfy bean bag lounges late intohe serenity ofhe moonlievenings. no mozzies! the rooms are new, spotlessly clean and very comfortable.this place is very special, as ishe hosterry who couldnbe more friendly and willingo share his local knowledge and alsohe fasinating stories of hisravels. i would definitely stay here again. thanks terry for aruly memorable stay!","joy","positive"
"9","one ofhe mosbeautiful views we've seen, stylish and modern property, and professionally managed buwith local charm. we were definitely satisfied and would visiagain.","joy","positive"
"10","beautiful location of bay of islands!! even caugha couple of handy size snappers ouonheir beach,, had for dinner!! plenty of highlights here!!","unknown","positive"
"11","a beautiful property, sein a breathtakingly gorgeous environment. the manager, cindy, is very professional, responsive and personable. she helped make our stay outstanding in all respects.","unknown","positive"
"12","this holiday home is a magnificenwayo experience tapeka point. breathtaking outlook, beautifully equipped, comfortable beds, plenty of land forhe kidso play crickeandhe separate living quarters forheeenagers worked beautifully. jusoverhe hillohe historic and quainrussell. toop ioffhe weather was amazing and we were ableo experiencehe hole inhe rock, deep water cove wreck dive, amazing island beaches, snorkeling, kayaking and fishing. the boaramp is a stoneshrow away andhe bay of islands is a magical playground for boating. we will be back!","joy","positive"
"13","was so lovely, didnneedo go anywhere. enjoyedhe beachhe kayaks , water was warm and so safeo swimhanks for a lovely weekend","joy","positive"
