"","text","emotion","polarity"
"1","the four of us spenfour nights athe carriage house in early february . iwashe perfecplaceo stay – spacious, clean and well equipped. the owners, adrian and sylvia could nohave been more helpful andheir knowledge ofhe local area was extremely useful. we had good weather and particularly enjoyed siing ouonhe deck inhe evening for our meals. a highlighof our stay was a ride inhe horse drawn carriage – whaa wonderful experiencehawas. a stay inhis beautiful place is highly recommended.","joy","positive"
"2","we stayed forwo weeks in the carriage house and icouldn'have been nicer - good breezeshroughhe windows, sheep onhe adjoining property, large carriage horses (shire- andhey are friendly liking carrots and apples) and rabbits everywhere. layouand facilities were excelleninhe apartmen- we prepared aleashalf of our meals, some of which weook inhe shelter ofhe large evergreen onhe deck. lots of birds. although we explored paths inhe neighbourhood (to a small bridge over a small river rapids),own centre was jusminutes away. town, although small, had everythinghaone could wan- grocery stores, medical facilities, restaurants,heaters (live and film), pharmacies, bars, clothes/jewelers, specialised products - honey, kauri products,wineries, etc. sites were numerous, from local - stone store and mission house, kauri fores(so peaceful and dignified), opito bay and lookouo half-day visitso paihia, russell, sailing onhe brigantine tucker thompson, boating ouohe hole inhe rock,ohe old whaling porof manganui andohereaty grounds and museum awaiting. full dayripso seehe oldeskauri andohe kauri museum andohe museum awaipu showing history of scoish selement. as in all of new zealand,here are hikingrails everywhere, requiring differenlevels of stamina and differenenvirons. adrian and sylvia could nohave been nicer - interesting stories ofheir lives, family and sailing adventures. and very accommodating. i would highly recommend the carriage houseoravellersohe northland of new zealand.","joy","positive"
"3","we ended our busy new zealand vacation with a week ahis beautiful horse farm.iwas so peaceful and relaxing, we stayed an extra  days, and really hatedo leave. the carriage house is a spacious, comfortable and nicely furnished accommodation (upstairs). the open windows lein nice breezes all day long, and we enjoyed listeningohe song birds. the kitchen has everything you need, andhe large refrigerator was really niceo have. we also enjoyed having our own washer and dryer. we really enjoyedhe hospitality of our hosts,hey were moshelpul in suggestinghingso see and do, and placeso eat...all greasuggestions. be sureo asko seehe restored vintage carriages and cars, adrian has greastoriesoell abouhem all! we loved spendingime withheir shire and gypsy vanner horses, andhey will love you if youakehem a few carrots inhe evenings! they even invited us for a carriage ride into kerikeri, greafun! iwas such a priviledgeo be aroundhese amazing animals and people who are stillraininghemo do somethinghais becoming so rarehese days. kerikeri is a nice lileown with good grocery stores and restaurants. lotso see close by and convenienfor other sightseeingrips. we highly recommendhis place.","joy","positive"
"4","kerikeri is a lovely area andhe accommodation provided ahe carriage house is of a very high standard. we enjoyed our stay and would certainly visiagain.","anger","positive"
"5","a beautiful, peaceful seing. the carriage house is spacious and well equipped. closeoown and lots of amenities, good restaurants and cinema. the owners (adrian and sylvia) made our stay very special,aking us for a ride in one ofheir horse drawn carriages and giving us lots of local information. seonhe estuary bunever far from a beach and many interesting placeso see. we would happily visiagain!","joy","positive"
"6","the accommodation and locale of the carriage house is beautifully unique and central inhis fascinating northland area. iwashe ideal spofor a relaxing worry free holiday. the lovely shire horses were an added bonus as werehe antique carts and cars. the starlinighskies were beautiful beyond belief for a city dweller. the information provided forhe places of interesinhe area was superb with excellendirections provided byhe charming host. the accommodation itself was comfortably andastefully furnished with all needs meincluding a second guesroom.we intendo revisiahe soonesopportunity.","joy","positive"
"7","we are a family of four fromhe us - kids ages  and . we stayed here for four nights. the coage is new, clean and large enough for a very comfortable stay. the views are beautiful. our hosts could nohave been nicer. as an unexpectedreahey invited uso joinhem for a horse drawn carriage ride intoown.we would definitely stay here again.","joy","positive"
"8","first, i would likeohank bill for making his home available sohafamilies like us can experience his beautiful place. we stayed for  nights and hadhe besime! everyone was overhe moon withhe view,he kayaks (saw a penguin),he spa (divine),he gym and evenhe guitar goplayed. iwas absolutely perfect. after a day ouonhe bay or inown, we all looked forwardo coming backo sionhe deck and enjoyhe peace andranquillity of 'home'. we lefreluctantly buiwas such a special place iwill always be remembered.","joy","positive"
"9","we have stayed here before as a couple and ever since have been keenoake our grown up kids back here when we visited nz again as it's such a special spot. dueohe flexibility ofhis home you havewo separate living areas which provided accommodation for  nicely. the ""two living areas"" layoumeanhis is greafor a couple, a family, orwo couples, sohere is a loof flexibility.the home is beautifully laid ouwith quality furnishings, an awesome view, and besof all providesotal privacy in a comparatively remote and isolated location. there is no beer placeo juschill ouand geaway from iall, complete with allhe luxury you need noo mentionhe incredible ocean views. those evenings juslazing onhe deck watchinghe sunsets were jushe bomb! andhe spa is another added extra since we wereherehaagain has an awesome view.bill is very helpful and easyo deal with, and you couldn'ask for a beer host. this is our second stay and hopefully won;be our last!","unknown","neutral"
"10","the accomadations were overheophe view waso die forhe owners were in contacwith us fromheime we booked until we lef. we will book again when we returno new zealand and would likeo stay longer. if you wannighlife stay inown if you wanpeace and quite and aruly amazing placeo stay bookhis accomadations.","surprise","neutral"
