"","text","emotion","polarity"
"1","i actually live in awanui & i regularly purchase various pastries & sandwiches fromhis establishmen. i would definately recommend stopping abakerman cafe awanui !","joy","positive"
"2","greafood, greastaff. owners are super friendly. eggs benedicsimply delicious. the righplace for a powerful brekkie","joy","positive"
"3","nexo a river (or inlet)his lile cafe is a delightful placeo lunch. dine in orake away,he food is great. affordable, quality food with a good range of baked savoury and sweereats. pepper steak pies are our family favourite andhe chocolate mousse cake is delicious. our kids (. yrs &  yrs) loveo gohereo feedhe ducks. staff are helpful and friendly and will give you breado feedhe ducks if you ask for it.","joy","positive"
"4","i was up since amravelling from houhora and decidedo stop for a quick brekkie. i was nodisappointed. the pie was nice and hot, i ordered a mocha which was whipped up nice and fas-also hot! sadown and enjoyed my mid-morning breakfasonhe wayo auckland. good value, good pie and coffee. would stop again andryheir pastries or sweets nexime. i can'sayhe pie was very good, as i haveasted some awesomme pies aother bakeries which were excellent. however, as i have mentioned - nobad/average is my rating.","joy","positive"
"5","my wife and i enjoyedhis place whilsravelling home south on state highway . whaamazing staff. the food was reasonably priced and so good. i lovedhahome cookedastehacomes from small ouohe way places likehis. keep iup guys.","joy","positive"
"6","we stopped here on ourour dohe bus driver could cleanhe bus. there is a huge kaurireehayou can walk up and down as it's a stair case very cool!the gifshop is over priced buhad some nice stuff!","joy","neutral"
"7","awesome place. kids love it. café ladys have amazing servicehawill make your stop a greaexperience! thanks ladies :)","joy","positive"
"8","stopped in for a break fromravelling, goa mocha forhe road after looking ahe museum. did noeat, so cancommenonhat. good friendly service.","joy","negative"
"9","jusanother superb curry - authentic spice flavour never falters. we have recently sampled curry meals kaeoo blenheim and our favourite is spice grill in kaeo. thank you for consistently greacurry meals and friendly superb service. nigel & dale, whangaroa","joy","positive"
"10","really nice indian food. as a vegetarian we ordered onion bhaji, palak paneer and paneer masala. the masala was beautiful smokey rich flavourshamade my day. the other food was goodo.decor was simpleo none, buhat's never something we care about. the music was slightly painful ambienmusichareminded me ofinnitus buhe food made up for it.","joy","neutral"
"11","having family inown we ordered dinner from spice grill. we collected, after phone order, bufound samosa was noin our meal as requested. phoned and was offeredhe opportunityo come and collecwith apologies or collecaa later date. i chosehe later date. while ordering 'my sons favourite' nuggets and chips from spice grill i was ableo collecmy samosa with a bonus sauce and veg pakora. thank you guys as made my nigh:)","joy","positive"
"12","took my family (eens,  adults) for dinner in jan . spice grill was highly recommended by friends so we had really high expectations - which wereotally justified. delicious food - we can recommendhe onion bhaji, lamb rogan josh, beef vindaloo, buer chicken and chicken korma. heaps of food, reasonably priced, friendly nice staff. always greao see a smallown local business boomingoo. definitely worth a stop if you're heading north!","anger","positive"
"13","probablyhe very besindianakeaway i have ever had in nz. absolutely recommendhis resturant. looking forwardo going backo dine in.","unknown","positive"
"14","awesome meal, guys were greaand full of lots of recommendations, had a aniversary dinner and so much food","unknown","positive"
"15","the cafe is juslikehe signo kaeo says, iis small buhas a big spirit. a sunny smile, greacoffee, a yummy cake and quirky decorations.","joy","positive"
"16","whaa wunderful and lovely cafe inhisown. donna is a very familiar and nice personality and makes her cafeo a greaplaceo be. our late breakfaswas a greaand yummy experience with fair prices. a musry:he vanilla slice - a piece of cake baked of her mum!","unknown","positive"
"17","we inundated kohukohu withhe tour of nz bike race passinghrough. this place mushaveurned aidy profiforhe day bucoped well. nice offerings.","unknown","negative"
"18","we enjoyed our coffee. in facwe had . staff were lovely and helpful. hubby had scrambled eggs with salmon. lots of salmon. i had eggs florentine nice bioo much sauce. over all well priced and nice people","unknown","positive"
"19","we came across onhe ferry andhere washis pubhaoffered greafood and friendly service. there were  placeso choose fromo siand eaor drink. i would recommendhe koke pub and cafe as a stopping poin- i can recommendhe mussels everyone enjoyedhem.","joy","positive"
"20","very friendly people who make a greacoffee and awesome pies - steak and blue cheese and mussel pies!","joy","positive"
"21","whaan unexpected delight. a quirky spoperched overhe water, offering inside and veranda dining. even on a wintery day,he atmosphere was very pleasant. the staff are amazing, very friendly and helpful. the food was superb. the hokianga flounder was fresh, beautifully cooked andasted divine. the creamy chicken hotpowas perfecfor aasty winter lunch. wish we lived closer, we would be regulars.","joy","positive"
"22","greafood -ryhe raw fish - andhe pizza was also very good. good coffee and service prompand friendly.","joy","positive"
"23","thanks for a beautiful breakfaswe enjoyed our scrambled eggs onhe deck literally ouabovehe highide. greastaffhawere friendly and excellenaheir jobs","joy","positive"
"24","we only had coffee bugiven we are coffee critics, ihoughwe should recommendhayou buy your coffee from here. nohe closescafeohe ferry buworthhe walk.","joy","negative"
"25","beautiful view fromhe deck ofhis small cafe in a beautiful parof new zealand. stopped for lunch andhe food was delicious-he blt on a bagel was generous andhe special, chicken popie, outstanding. welcome was warm andhere is a cute gifshop aached. no hesitation recommending.","joy","positive"
