"","text","emotion","polarity"
"1","this lile cafe is quite a neaplaceo siand have some quieime in peaceful surrounds and indulge yourself with some yummy food and coffee. the service is secondo none. nothing iso muchrouble forhe staff.. the owners should be well pleased withhere seup.","joy","neutral"
"2","sometimes it's a lile - appearingo be - common placehahas a greavalue ""behindhe curtain"". the big river cafe (see google maps) or bakerman cafe (as named here) is such a place. forourists like us a coffee bar inhe middle of nowhere offershe very friendly staff delicious pies, breakfasand snacks i would never have expectedhere.so stop, enjoy, and if you don'likehe heavyly winding hwy,akehe state highway  alonghe coasif you are going southward.","joy","positive"
"3","my daughterook me here for breakfast. delicious eggs benedicwith bacon. big portions and excellenprice. lovely mocha and poofea. nice staff with greaservice. we enjoy siing outside byhe river.iwas a nice mother's day.","joy","positive"
"4","coming back from  mile beach,his was a good placeo stop and have a coffee whilehe coach was being washed down. the kauri museum was interesting. no beerhough.","joy","positive"
"5","arrived late inhe day, buhe limited snackshawere available were still fresh, and real value for money.","unknown","positive"
"6","an absolute dud! this place has recently been soldohe local maoris ashe previous owner who builhe place and carvedhe spiral staircase inside a swamp kauri, was going broke. now its aour bus stop essentially. my guess ishey make more money inhe cafe, which as i mentioned is full ofour bus crowds. they are nogoingo be selling more kauri carvings,heir main producwill be greenstone going forward. nothing wrong withhahough, it's beautiful stuff.","anger","negative"
"7","we stopped mainly forhe kauri arinhis huge shop-museum-café. beautifully maori carved wooden artifacts for sale!","unknown","positive"
"8","visited in january . stopped here during a busourohe capeo pick up additional passengers. good stop for coffee and snacks forhe bus ride. additionally, a good place for souveniers.","joy","negative"
"9","this is worth a stop if only forhe wide selection of kauri products for sale there is something special aboubuying a gifhawas made from wood , years old","unknown","positive"
"10","large selection of freshly cooked homemade food. yummy coffee. amazing kauri stair case nexdoor. good serive","joy","positive"
"11","iis a mix between cafe and souvenir shop actually. the cafe provides a nice break for busrip passengers, buhis place is also literally a souvenir shop for kauri's handcrafproducts. various hand made products from small and simplehing such as diningable and kitchenhings,o furniture and sculptures, and culminated asuch awesome really spectacular products,he gianface sculpture and staircase made from kauri. nocheap price mass products buimeless wood products aheir exclusive prices. combine your coffee break here with enjoyinghe exclusive handcrafsouvenirs made from kauri wood.","unknown","positive"
"12","iis an unassuming stop during our drive upo cape reinga. we were givenhe suggestiono stop hereo seehe big kauriree. there is a cafe inside along with a souvenir store with kauri products. a good place for a quick stop, either for food or for a washroom break.","joy","positive"
"13","greafood and quielocation. however,his cafe is noopen allheime. once you have eaten, ihas amazing kauri and arhacan be purchased. fantastic for juslooking awhais available.","surprise","positive"
