"","text","emotion","polarity"
"1","was looking forwardo seeinghis place. didhe research via website which said open  days a week amo pm. we seout, heading north. after a couple of hours driving we came across a huge road sign advertisinghe ancienkauri museum  km ahead. we arrived a. am and iwas closed. the place looked like a ghosownhahadn'opened idoors in a while. prey miffedo sayhe least. definitely noworthhe drive.","anger","positive"
"2","ourour guide stopped here for uso perusehroughhis store. i was amazed byhe many wood products. some were quite expensive, others were more affordable. they had some huge wooden statues. we bougha wooden frame and a bookmark, as a souvenir of new zealand.allhese wooden products come from ancienkauri woodshaare found inhe swamps inhe northland of new zealand. mosofhem were buriedhere forhousands of years.they guarantee all ofheir productshe age, quality, authenticity and workmanship and naturally for being manufactured in new zealand.we were amazed byhe huge wooden staircase, all carved from a very old kauri stumphahado be dragged ouofhe swamps andransportedohe location ofhis store. i have no idea howheyransported it, as iwas ons,he largesswamp kauri log ever found.whenryingo extrachisree in one piece, isnappedhe  winch ropes (they could sustain ons each!). they had no choice buo cuons off and pullhaone oufirst. the remainder ons was pulled ouafterwards. they were ableo cua ons sectionournhis section into a staircase.carvinghis monstrosityook a loof efforand a loof sweating! firshey hado pour a half meterhick reinforced concrete pad,o keephe log upright. iook  hourso carvehe staircase with a chainsaw. quite impressive, don⊙youhink!","surprise","positive"
"3","this was basically jusa shop of quite interesting goods made from kauri. the kauri staircase is prey amazing. jusplan a shorvisio seehe staircase and useheoilets. don'goohe cafe if you can help it.staff were helpful and kindo our kids.","surprise","positive"
"4","if you jusso happeno be driving pasand needo stop for aoilebreak or a driving break,his may be a decenplaceo stop. they have a small cafehaserveshe usual coffee and snacks. the exhibits andhings for sale are prey expensive so jusreais as aimeo resyour eyes. the staircase carved fromhe kauriree is nothing shorof amazing. it's actually a functioning staircase which you can useo goohe second floor. nice pictures onhe nd floor. otherhanhe staircase,he kauri kingdom is nospecial. the staircase is whaputshis place onhe map. usinghe staircase is free (thankfully).","surprise","neutral"
"5","nomucho see jusa commercial shop really. o ko visibui wouldn'make a specialrip. the kauri staircase was amazing and some good info.","joy","positive"
"6","c ( .. )i stopped byhere onhe roado cape reinga. i expectedhere were many exhibits and goods, bui were wrong. jusexpensive souvenir shop and resarea, ihink. i recommandhere was as resarea wheniredo cape reinga.","unknown","negative"
"7","i was surprised ahow interestinghis simple family run site is! the owners have a real passion forhe preservation ofhe history and stories ofhe gumdiggers as you wander aroundhe park boasting an unearthered kauri of approx , years old!","surprise","positive"
"8","a greaplaceo have a picnic (which we did one beautiful january day). the park is well maintained and prey. the walkway path is marked well and its an easy walk aroundhe park, with lots of shade beneathherees. the size ofhe kauriree holes are quite impressive andhe humpys (haveo visio understand haha) are well done. we enjoyed our visivery much. such ambiance inhe lileheatreype room which playshe gumdigging video. nooverly impressed byhe large kauri log which you can walk up andouch. ilooks like ihas seen beer days and is noas impressive looking ashe dark and sorof polished log inhe photos. well worth a visihough.","joy","positive"
"9","treasure fromrees don'come easy forhe gum diggers. who would choosehis kind of life andhese conditions? the kauriree when cuexcretes gum or resin which in various states isreasured as polish or varnish or jewellery. amazing. also fabulousimber for ships of course.","joy","positive"
"10","stopped here as parof dune riderour a gem of an aractionfascinating insighoheir life do nomiss seeingheree and reading abouhe history ofhe area","unknown","positive"
"11","sawhe sign so stopped ino break uphe driveohe cape, and we were pleasantly surprised by how goodhis araction was! cheap entry price, and we spenabouan hour walking around a very well seouselection of exhibits whilsgeing a good dose of fresh air, and learning some new information abouhe history ofhe area. definitely recommendo anyone interested inhe history ofhe kauri gum diggers, anyone interested in learning abounewhings, or jussomeone wanting some fresh air and a small walk.","joy","positive"
"12","hazard and an old man in a café gave mehalosplace... wonderful entry. very interesting parc. aboukauries, geology, gum diggers activities. sad: istays few botanic informations in good condition (so few places offershain new zeland). i would be interested for more human relations along my visiinhe parc. alone, raining...","joy","positive"
"13","step back in bimeo when people were startingo dig forhe kauri gumhawas buried underneathhe parge buried kauri forrest. buy visitinghe gumdiggers park you will be ableo see firshandhe living conditions ofhe early gumdiggers,he wayhahey madeheir huts,heoolshahey used and alsohe pitshahey dugo findhe precious gumhawas buried.from working inhese pits, withhe water filling up gumboots becamehe norm inhe gumfields! theerm gumboots is used widley evenoday in nz, imeans wellingtonsohe british.very affordable a$ per person and well worthhe visit.","surprise","positive"
"14","i had beeno an excellenkauri museum inhe pasbuwalking around gumdiggers park really made clear whahe gumdiggers had been doing and how and why. i also now know why gumboots are called gumboots!","unknown","positive"
"15","was looking forwardo seeinghis place. didhe research via website which said open  days a week amo pm. we seout, heading north. after a couple of hours driving we came across a huge road sign advertisinghe ancienkauri museum  km ahead. we arrived a. am and iwas closed. the place looked like a ghosownhahadn'opened idoors in a while. prey miffedo sayhe least. definitely noworthhe drive.","anger","positive"
"16","ourour guide stopped here for uso perusehroughhis store. i was amazed byhe many wood products. some were quite expensive, others were more affordable. they had some huge wooden statues. we bougha wooden frame and a bookmark, as a souvenir of new zealand.allhese wooden products come from ancienkauri woodshaare found inhe swamps inhe northland of new zealand. mosofhem were buriedhere forhousands of years.they guarantee all ofheir productshe age, quality, authenticity and workmanship and naturally for being manufactured in new zealand.we were amazed byhe huge wooden staircase, all carved from a very old kauri stumphahado be dragged ouofhe swamps andransportedohe location ofhis store. i have no idea howheyransported it, as iwas ons,he largesswamp kauri log ever found.whenryingo extrachisree in one piece, isnappedhe  winch ropes (they could sustain ons each!). they had no choice buo cuons off and pullhaone oufirst. the remainder ons was pulled ouafterwards. they were ableo cua ons sectionournhis section into a staircase.carvinghis monstrosityook a loof efforand a loof sweating! firshey hado pour a half meterhick reinforced concrete pad,o keephe log upright. iook  hourso carvehe staircase with a chainsaw. quite impressive, don⊙youhink!","surprise","positive"
"17","this was basically jusa shop of quite interesting goods made from kauri. the kauri staircase is prey amazing. jusplan a shorvisio seehe staircase and useheoilets. don'goohe cafe if you can help it.staff were helpful and kindo our kids.","surprise","positive"
"18","if you jusso happeno be driving pasand needo stop for aoilebreak or a driving break,his may be a decenplaceo stop. they have a small cafehaserveshe usual coffee and snacks. the exhibits andhings for sale are prey expensive so jusreais as aimeo resyour eyes. the staircase carved fromhe kauriree is nothing shorof amazing. it's actually a functioning staircase which you can useo goohe second floor. nice pictures onhe nd floor. otherhanhe staircase,he kauri kingdom is nospecial. the staircase is whaputshis place onhe map. usinghe staircase is free (thankfully).","surprise","neutral"
"19","nomucho see jusa commercial shop really. o ko visibui wouldn'make a specialrip. the kauri staircase was amazing and some good info.","joy","positive"
"20","c ( .. )i stopped byhere onhe roado cape reinga. i expectedhere were many exhibits and goods, bui were wrong. jusexpensive souvenir shop and resarea, ihink. i recommandhere was as resarea wheniredo cape reinga.","unknown","negative"
"21","accesso view parengarenga harbour is limited which in itself is both a challenge and its saving grace from an environmental perspective. finding a meanso explorehis incredible parof new zealand was made possiblehrough malcolm's quad bikeours (henderson bay rentals) and whaa satisfying experience was had, regardless of changing weather conditions. the day includes driving uphe expansive beach of greaexpedition bay, accessinghe inside ofhe harbour, viewinghe habitaand feeding grounds of canadian geese,opped off by a fabulous outdoor lunch. this adventure is a musfor geing closeohe hearof new zealand's diverse scenery.","joy","positive"
