"","text","emotion","polarity"
"1","this is predominantly a retail outle- with aached cafe - budoes have some interesting pieces of furniture for sale and a magnificenstaircase constructed from a single kaurireerunk. if you have $us.mo spare ican be yours.","unknown","positive"
"2","this is a standard stop onhe coach dayours so don'expecoo much. it's basically a showroom for swamp kauri and kauri gum artefacts and otherouristy knick knacks along with a cafe and an ice cream kiosk. we hadhe ice cream. two double scoop cones aaotal cosof nzd.. delicious. friendly although very busy staff. the staircase insidehe kaurirunk and gianface carved into arunk were amazingo see andhe furniture on display was beautiful although obviously expensive. nooo sure iwould be worth going ouof your wayo visit.","joy","neutral"
"3","we stopped in on our wayo cape reinga. we wantedo have morningea before we droveohe cape aam. geing service was so slow & choice very limited. iseemedhaiwas so hardo order aoasted sandwich. we looked around for awhile & my daughter wantedo buy somehings fromhe gifstore. she walked overohe lady who was inhe kitchen area & asked if she could pay forhe postcardshere. gooldo gobackohe other counter & she would be over. the lady decidedo clearables firshen go ou& give someone a coffee.  minutes later we lefhe postcards onhe counter &hought, no way, we would byhem elsewhere. we were noimportanenough. so no we will nobring visitorso stop here again. youo be good buobviously gone down hill.","joy","negative"
"4","through our  miles beachour,heour bus stopped herewice (onhe way up and back) for peopleo have a res(and shop probably). they have a very good selection of wood artwork made ouofhousands years old ""swamp kauri"" and definitely worth a look. they also have good kitchen facility (maybehe besonhe wayo -miles beach). buhe food was very expensive. we boughsomeokens and i am glad we did :)","joy","neutral"
"5","this is a gem - offhe beatenrack and aotally authentic self guided experience. i loved myime here -herack is well sign posted with greainformation onhe history of gum digging,he story ofhe ancienkaurirees, other native species includinghe residenbird life. the owners arehe natural guardians /kaitiaki preserving and protectinghe ancienland and its story for allo enjoy. there are rare and beautifulreasures inhe shop which are % genuine. take yourimeo enjoy nature and history aits best. supporlocal buisness. i can highly recommend and will visiagain.","joy","positive"
"6","we wenouof our wayo visidown an unpaved road. when we goherehe place looked run down and in need of maintenance. our visiconfirmedhis impression. the gecko cage looked lifeless andhe other exhibits looked worn out. the signs were outdated, badly wrien with numerous spelling mistakes. i would nobother going ouof my wayo see it.","unknown","negative"
"7","we passedheurn off forhis place onhe way north andhoughiwould be worth a visionhe way back, how righwe were. whaan amazing placehis is, so full ofhe history of gum digging etc.. a greaplaceo explore.","surprise","positive"
"8","this stop off was parof our explorer dune rider experience and i am glad iis included. we had a leisurely stroll aroundhe  year old park and groundsaking inhe kauri loghais dated back ,o , years old. this historical place is unique and i highly recommend iif you are a history buff.","joy","positive"
"9","really lovely seup- a walkhrough kaurirees all well signed andhen lile exhibitso stumble upon. lovely exhibits gave a real understanding of whaimushave been like forhe gumdiggers back inhe day. we also saw fantails and all sorts of birds!the video is a lile dated bustill relevant, it's certainly an older exhibition. don'misshe gifshop which sells some beautiful amber, as well as explaining allhe uses of gum!","joy","positive"
"10","go back inimeo learn aboulife ofhe gum diggers many years ago. as an industry how ihrived and later jusshriveled and cameo an abruphalt.","unknown","positive"
