"","text","emotion","polarity"
"1","iravelled north with with my family and friends, stayed in loredo for a night.excellenservice,clean rooms and spa was jusawesome. it's in a good location n very good for children. will definitely recommend io all my friends.","joy","positive"
"2","my girlfriend and i stayed a couple of nights ahe loredo and can highly recommend it. the uniwas clean, well equipped andhe place was quiet. our host, jenny, was helpful and friendly. jenny also booked our busripo  mile beach which was helpful.","joy","positive"
"3","i'mold iishe only wheelchair friendly motel in kaitaia. flashower. seaprovided bui used my wheel in shower chair. plenty of room inhe bathroom. unableo use stove bukele was doable. shallow concrete 'ramp' asliding door. too steepo aempgoing in and ouunassisted. owner seemedohink nothing could be done abouhis bucould easily be rectified by even providing removable ramp. happily stayhere again if inhe area.","joy","positive"
"4","friendly, helpful staff and a very comfortable room. rooms seemo have been refurbished and are really nice and clean. had a nice bathroom and a good sized lile kitchenee. bed comfy and nice and quiet. had a lovely stop over here :)","joy","positive"
"5","souse and self stayed here one overnighwhileouring northland. a hearty welcome byhe proprietress and we were ensconced in our quite large  b/room unit. a quick check and all was foundo be satisfactory, clean and comfortable. linen andowels were clean. though nothing hiltonesque. the motel is acceptable with adequate parkinghough some way ouofown. i foundhe dribbly shower difficulbupuhadowno shortage of water inhe area - don'know ifhis was a correcassumption. reception was helpful with naming likely eateriesohe extenhahe prop. both ordered for us, on line,hen weno colleche anticipated goodies. alas,he eatery was closed for alterations evenhoughhe on-line order had been accepted. nevertheless, we did greatly appreciatehe gesture. we ended up collectingake-away roasts from town & country inhe main street. more wasaken awayhan we could manage ⊓ all for $. i did espiehe reception and restauransign outsidehe large northlander hotel righoppositehe motel and wandered acrosso check ouhis eatery. shouldn'have bothered asharestauranhas been closed for a long period. check ouhe reviews on ta if you plan on staying ahahotel. before check-ouwe did have a small issue ahe motelhoughhis was dealwith morehan adequately, and speedily, byhe prop. for which we...","joy","positive"
"6","i stayed for a week and i will definitely stay here again on my nexripo kaitaia. the staff were really helpful and friendly andhe uniwas clean,comfortable and quiet. as iwas a businessrip having free wifi was great. thanks.","joy","positive"
"7","we have had  nights as a ""base camp""o explorehe far north. greaand friendly hosts. the rooms were spacious, clean and quite. all you needo relax. iwashe firsone ofhe ""host"" ones, all ofhem have had a above average standard, and were more or less our firschoice. would bookhis one again.","joy","neutral"
"8","we ranhe fan heater for agesory snd dryhe uniout. kaitaia does have a moisclimate andhe room fela bidamp. decor is dated buhe uniwas clean. reception was friendly. the star rating of + should be reviewed downwards please. its an average facility. we paid  for a uniwith jus adults nosure why ourarrif was higherhanhose onhis site. ioff peak and noschool holidays either.","joy","positive"
"9","i can only rate the loredo as average. while iwas clean andidy,here weren'any featureshastood ouor would wanmeo stayhere again. iwas reasonably quieand as a femaleravelling alone for work, i did feel reasonably safe.","unknown","positive"
"10","i stay here as firschoice when working up north. free wifi. friendly hosts, quieclean rooms. plenty of parking ifowing arailer. skyv. rooms have good kitchens if you wano make a meal otherwise its nooo faro the bushmans huor kfc for dinner.","joy","positive"
