"","text","emotion","polarity"
"1","i stayed her for  nights andhe room was clean and had a newly appointed kitchen which i very much appreciated. the main bed was very comfortable buhe second bed and sofa were long pasheir sell buy date and needed replacing. desperately.the pool and spa pool seemed cleaned and were very popular and unusuallyhe owners allowed children inhe spa pool, supervised, which was a god sendo parents onhe wedays when we stayed.the motel itself was quiebuiis very closeohe main streeof backpacking establishments (accommodation and nightlife) which did leado some noise. some people may lovehe proximityohe nighlife, others less so.","joy","negative"
"2","the rooms are spacious for a motel. the parking is plentiful.he staff is friendly. this is a good placeo stay if inhe area. the rooms can be a bihoinhe summer, buhere is a cross drafofhe widows are open.","joy","positive"
"3","i'd recommendhis motel in kaitaia. staff were very nice, breakfasts were very good (continental and cooked) and rooms were very comfortable.staff happyo help withour bookings and was genuinely interested in our experience ofherio when we goback.i'd stay here again,hank you for making our stay great!","joy","positive"
"4","we neededo stay one nighin kaiatia as we were going on a dayrip from kaiatiao cape reingahe following day. this motel was located onhe northern outskirts ofown closeoheour depoand provedo be perfectly adequate.the room was well equipped, buby no means fancy andhe kitchen was well equipped. the free wi-fi worked well.although we did nouse it,he motel had a spa pool,rampoline and swimming pool (summer only).i have no hesitation recommendinghis motelo others requiring accommodation in kaiatia.","joy","positive"
"5","we jusstayed for one nighafterravelling up from auckland. the owner was very welcoming and ensured we had sufficienfresh milk for makingea or coffee. the uniis lovely and clean and of a generous size. would definitely recommendhis motel.","unknown","positive"
"6","this is yourypical smallown new zealand motel. spotlessly clean, immaculate inside and out, helpful staff; nothing was a problem. good size kitchen. shorwalk alonghe streeo shops and restaurants and acrosshe road fromhe museum. nice swimming pool.the only negative for me was a.lile signhasaid if you were late checking out,here would be a $ charge per half hour or parhereof. i realisehahey haveo gehe rooms ready forhe nexloof guests, buiseemed a lile aggressive and unfriendly.","joy","neutral"
"7","this motel is closeoown and has easy accesso shops, pubs and restaurants. there is nothing on site so iis byo everything. the owners are welcoming and helpful buhe place is on a main road and can be a lile noisy aimes ifraffic is heavy.","unknown","negative"
"8","we bookedhis hotel because of a deal iwas having a capeour included withhe stay a$ forwo adultswo nights stay and a dayourohe cape so ihoughmoney wisehis is awsome! buhoweverhe lady ahe reception was confused on our booking when we arrived she was old so didn'wano pupressure on her she expected uso pay cash buwe had booked using a credicard so we asked if she could use our credicard details she could'nfigure ouhowo usehe machine so lucky we had a biof cash on hand we were ableo pay, later finding oushe had a eftpos machine :) buwe are nofussed...he.v is wiredo freeview nosky, room wasidy and service is good. buifeels gloomy and boring kinda like you don'wanna go back and relax in your room jusa placeo sleep really.......more","joy","negative"
"9","my husband and i stayed  nightshere for our honey moon and we had a lovelyime. the localisation and views are jusfantastic. you are almosalone inhe bay and feel very relaxed. however, we didn'feelhe luxury of a * hotel. jusas an example dinner isotally overrated forhe price and you shareable with other guests (the same for breakfast). breakfasis nice buquite limited as you can noorder a capuccino, is jusfiltered coffee orea... and as cooked breakfaswe hadhehree days an english breakfast... so i would say it's more a b&b ratherhan a * hotel. service is welcome and nice buwe completely missedhe detailshamakes a luxury stay (you don'have a phone in your room in case you require something,here is no lockbox inhe room, and rooms have no lock so remain open all day & night...).","unknown","positive"
"10","cannorecommendhis spohighly enough. we enjoyed our shorstay and will be back. carrie and richard are moscharming hosts. carrie is also a whizz inhe kitchen so i recommendhe ""eain"" option. perfeclocation for a romantic getaway","joy","positive"
"11","we spen nights ahe lodgeo celebrate our  anniversary we had a greastay ahis  star beach house, room very comfortable and ordered meals lovely, hosts were very gracious,he views were exceptional would recommendedo anyone wanting something special","joy","positive"
"12","our stay acavalli beach house was simply wonderful. everything abouhe retreais divine withhoughtfuloucheshamake a big difference. hosts richard and carrie are delightful and create an atmospherehais both luxurious and comfortable. food is some ofhe besyou will geanywhere onhe plante- fresh,asty and well prepared. a loof produce righouof carrie's garden. this property is hardo beafor a specialreaor if you are after some peace and quiein an idylic location. only complainwashawe didn'stay long enough - can'waio come back. thank you so much richard and carrie.","joy","positive"
"13","kohukohu is worth spending a few days in. so easyo juspasshrough on wayo ferryo rawene (as we did on a perviousrip). stay, walk aroundhe quiestreets, admirehe beautiful early century houses, and read up onhe history ofhis magic spot. the nighsky lodge is a greaplaceo stay - lodge describes iwell - keep in mind iis noyour usual hotel. lovely clean rooms, comfortable beds, with en suite bathroom, doors onto deck. doryo gea room with a view ofhe harbour. we lovedhe separate kitchen, gueslounge building with outdoor dining area - we had a fantastic community christmas lunchhere, puon by lovely hosts dimitri and reena. the quieis amazing. peaceful, serene.","joy","positive"
