"","text","emotion","polarity"
"1","the four of us spenfour nights athe carriage house in early february . iwashe perfecplaceo stay – spacious, clean and well equipped. the owners, adrian and sylvia could nohave been more helpful andheir knowledge ofhe local area was extremely useful. we had good weather and particularly enjoyed siing ouonhe deck inhe evening for our meals. a highlighof our stay was a ride inhe horse drawn carriage – whaa wonderful experiencehawas. a stay inhis beautiful place is highly recommended.","joy","positive"
"2","we stayed forwo weeks in the carriage house and icouldn'have been nicer - good breezeshroughhe windows, sheep onhe adjoining property, large carriage horses (shire- andhey are friendly liking carrots and apples) and rabbits everywhere. layouand facilities were excelleninhe apartmen- we prepared aleashalf of our meals, some of which weook inhe shelter ofhe large evergreen onhe deck. lots of birds. although we explored paths inhe neighbourhood (to a small bridge over a small river rapids),own centre was jusminutes away. town, although small, had everythinghaone could wan- grocery stores, medical facilities, restaurants,heaters (live and film), pharmacies, bars, clothes/jewelers, specialised products - honey, kauri products,wineries, etc. sites were numerous, from local - stone store and mission house, kauri fores(so peaceful and dignified), opito bay and lookouo half-day visitso paihia, russell, sailing onhe brigantine tucker thompson, boating ouohe hole inhe rock,ohe old whaling porof manganui andohereaty grounds and museum awaiting. full dayripso seehe oldeskauri andohe kauri museum andohe museum awaipu showing history of scoish selement. as in all of new zealand,here are hikingrails everywhere, requiring differenlevels of stamina and differenenvirons. adrian and sylvia could nohave been nicer - interesting stories ofheir lives, family and sailing adventures. and very accommodating. i would highly recommend the carriage houseoravellersohe northland of new zealand.","joy","positive"
"3","kerikeri is a lovely area andhe accommodation provided ahe carriage house is of a very high standard. we enjoyed our stay and would certainly visiagain.","anger","positive"
"4","a beautiful, peaceful seing. the carriage house is spacious and well equipped. closeoown and lots of amenities, good restaurants and cinema. the owners (adrian and sylvia) made our stay very special,aking us for a ride in one ofheir horse drawn carriages and giving us lots of local information. seonhe estuary bunever far from a beach and many interesting placeso see. we would happily visiagain!","joy","positive"
"5","the carriage house was a wonderful placeo stay! the suite itself was very quiet, spacious and comfortable with a well equipped kitchen . . . perfecfor  couples. adrian and sylvia were very welcoming and friendly hosts. we enjoyed seeing and hearing abouhe collection of carriages and vintage automobiles. the horses were an added bonus! information abouhe surrounding area and sites was readily available. aerrific wayo begin our vacation in new zealand!","joy","positive"
"6","this is an idyllic rural locationo relax in, surrounded by shire horses with a lovely scenic view ofhe inlebelow and well positionedo explorehe bay of islands. our hosand hostess, adrian and sylvia were very friendly, informative and accommodating of all our needs and iwas a specialreao beaken ouon a horse drawn carriageo kerikeri. a specialhanks alsoo roy whoendershe horses. this has been a very relaxing and enjoyable holiday with family forhe pas days and we are happyo recommend it.","joy","positive"
"7","we are a family of four fromhe us - kids ages  and . we stayed here for four nights. the coage is new, clean and large enough for a very comfortable stay. the views are beautiful. our hosts could nohave been nicer. as an unexpectedreahey invited uso joinhem for a horse drawn carriage ride intoown.we would definitely stay here again.","joy","positive"
"8","the location is outstanding! you cannogecloserohe waterhanhis, peace,ranquility inhe mosstunning surroundings all facilities are  star. marsden cross is a  minute drive! the fishing is awesome,he hosts are exceptionally hospitable! i would sayhis is an awesome spofor a family getaway, a couples retreat, friends going fishing or an reunion of any sorts! jusawesome for any occasion! grearateshrough winter. will be booking for nexsummer. thanks michelle and ash and boys!","unknown","positive"
"9","hokianga haven is righonhe beach aomapere in noth western nz. we stayedwo nights ahis location. the room is large and spacious with a kitchen area and small diningable inhis open plan area. the room was clean and comfortable with bifolding doorsohe outside area. the outside area was a lile disappointing, buhe beach jusen paces away was fantastic.iwas a shamehaour stay coincided with a large motor bike party nexdoorhe firsnighfollowed by a large stormhe second. thisogether with non stop rainendso dampenhe spirits. whai will say ishis hokianga haven would look greaon a warm dry day bufor us ilooked a lile soggy and down beat.","surprise","positive"
"10","i recommendhis bed and breakfasstay for any one who wantso re chargeheir baeriesand enjoy nature,he ocean andranquility.beautiful ambience,magnificengardens,birdssinging inherees,bees buzzing everywhere and a real opportunityo have a grearelaxingime.plenty of walks buhis is a placeo do nothing and juschill.highly recommended","anger","positive"
