"","text","emotion","polarity"
"1","i wouldotally recommend staying ahis property. annie was friendly and easyo deal with. my family enjoyedheir stay.","joy","positive"
"2","a group of  of stayed hereo play golf ahe nearby kauri cliffs golf course. the house is amazing withhe mosincredible views of a private beach and estuaryeeming with birds. the living area is large and open plan making for a comfortable and relaxing placeo stay. there were plenty of bedrooms spread ouoverhe multilevel layouso no-one feloverly cramped. the fitouwas firsclass with a high quality kitchen. granhe property manager was friendly and helpful. i hopeo geback here someday.","joy","positive"
"3","pip and pete were very friendly and helpful. makinghe booking was easy andhey were very accommodating when we neededo make changeso our booking a week prioro our arrival. they even offeredo pick us up fromhe airport!the accommodation was new and clean, and amenities wereop notch. and inhe kitchen was a magic bullet... with frozen berries and coconuwater inhe fridge for uso make healthy breakfasshakes! we alsoook advantage ofhe group classes which were fun and enjoyable even for a first-timer like me and yes, my fitness fanatic husband was in his element.one minor hiccup was having a cold shower onhe firsnighafter a very relaxingime inhe spa. this was dueohe howaterank nobeingurned on. the hosts were very apologetic and informed ushahis has never happened before. and i'm sure iwon'happen again bui'd say it's worthestinghe howater before jumping inhe shower, especially in winter.overall, we had a greaime!we will definitely be back for more ptme and strongly recommend io anyone who is looking for a relaxing getaway, an effective fitness camp or a biof both.","joy","positive"
"4","accommodation only option: ( bed uni+ additional room) my partner and i decidedoreaour mumso a week away inhe beautiful bay of islands. there were many options available. however, we made our decision based on locationo kerikeri andhe beautiful surroundings and accommodation apt for me retreat. we were nodisappointed, iis exactly ashey described onheir website andhe photo's don'do ijustice - iactually fellike we were on aropical island. pip and pete were so welcoming and ifellike we were staying with family friend’s. we had an amazing relaxing week. there areoo may greahingso mention: - pete and pip picked us up and dropped us off ahe airpor( vehicleso cater for our luggage) - wonderful welcoming hosts who recommended greaplaceso eat/drink/see – all were amazing - immaculate amenities gardens/pool/spa/gym. we had accesso bikes and kayaksoo and were welcomedo join in on any gym classeshey had scheduled. pool loungers/inflatables/umbrellas and outdoor furniture all for our use. - vehicle availableoo - additions: snacks/coffee/tea/milk/toiletries/beds/linen – all high quality - nonintrusive hosts with  lile jack russell’s – pip and pete saidhey would blockhe dogs off from our accommodation buwe are dog lovers and didn’have an issue withhem roaming free –hey were extremely friendly. - i could go on and on.... jusvisiand you'll see. if you have any issues pip and pete will go above and beyondo accommodate you.there was only one con. the dressing robes were extremely sofand inviting buoo small for my mumo enjoy.i strongly recommend staying ahis retreaand will visiagain soon. bessuited for a family or group of friends ashey have a  bed uniand an additional room jusoffheir main living area buis separated with a door with a latch – very private.","anger","positive"
"5","terry describes his cabin accurately. iis fully solar-powered and opens uphrough a retractable garage doorohe environment. iis well-equipped: in additiono kitchen gadgets and cookware,here are games and puzzles, books, even a bird calling whistle, as well as bug spray. you drive on unpavedrack abou yardshrough busho gehere: pukeko and quail greeyou!. there is no concern abouprivacy when you walk back downherackohe outdoor bathtub - with lots of howater, bubble bath and aub pillow and, besof all, a harbor view. we were disappointed only withhe unusually rainy weather which kepus from doing expected water activities (though apparently a kayak was waiting for us only a drive downohe harbor), buwe usedheime well, driving all aroundhe northland from mangonuio cape reinga on dayrips. terry also offers greaadvice on nearby restaurants.","joy","neutral"
"6","beautiful self catered accomodiation, bihe owner filled uphe fridge with a breakfast. shorstay,oo short. a loo do ando see inhe environnement. it`s apityhahe accomodation was noreally cleaned. avery nice helpfull hostess.","unknown","positive"
"7","my brother and i stayed here during a roadrip around northland. the location is wonderful, righonhe beach with views overhe sand dunes. the bedrooms were clean and very comfortable with good amenities. there was safe off streeparking and no roadraffic noise. i will certainly stay here again and recommend io friends.","joy","positive"
"8","amazing placeo spend a few weeks. idyllic location, on a hill overlookinghe bay. every room hashe same fabulous view and wide doors opening ouontohe upper or lowererrace. clean and comfortable. the houb inhe garden is a good bonus. much appreciated! the detailed information senbyhe owner on booking was very detailed andotally accurate and helpful. any queries or requests we had when staying were dealwith promptly and satisfactorily.highly recommended.","joy","positive"
"9","the accomadations were overheophe view waso die forhe owners were in contacwith us fromheime we booked until we lef. we will book again when we returno new zealand and would likeo stay longer. if you wannighlife stay inown if you wanpeace and quite and aruly amazing placeo stay bookhis accomadations.","surprise","neutral"
"10","the accomadations were overheophe view waso die forhe owners were in contacwith us fromheime we booked until we lef. we will book again when we returno new zealand and would likeo stay longer. if you wannighlife stay inown if you wanpeace and quite and aruly amazing placeo stay bookhis accomadations.","surprise","neutral"
"11","we stayed atapeka del mar we wantedo escapehe daily grind ofhe city for a few dayso rechargehe baeries. tapeka del mar located inhe bay of islands washe perfecchoice, onlyhree or so hours from auckland. situated righonhe beach, iprovidedhe ideal seing for relaxation or excitement.booking was easy, service friendly andhe luxury accommodation is of an international standard. we enjoyed walks onhe beach, caugha few fish offhe rocks which we cooked onhe barbeque. several meals were easily prepared inhe well appointed kitchen. russell township is only awo minute drive away, where you can enjoy restaurandining &he quainrussell atmosphere steeped in history, orake a minuite ferry ride or driveo paihia.greaplace, we loved it! well be back.","joy","positive"
"12","pip and oliver righfromhe get-go made us welcome withoubeing over bearing, we are very independenself driveravelers. pip and oli havehe balance jusrighre hosting, allowinghe gueso dohere ownhing, excellenrecommendations are available when requested.","sadness","neutral"
"13","beautiful home inhe hearof russell, very closeo all aractions and amenities. however we were disappointedhere was no spa/houb as advertised. this was one reason we bookedhe house. this needs altering onhe advertisements as we have noticed iis still being advertised as having a spa on differenwebpages.","unknown","positive"
"14","greaview greahouse. we stayed  nights and had a very nice experience. the house is beautiful and complete and jusa few stepso reach a privetebeach. darem was very kind and for sure we recomendhis house.","joy","positive"
"15","spen days here catching up with friends and couldn'have asked for a beer place! the vineyard coage is beautifully appointed, luxurious and comfortable andhe seing with views overhe vineyard is spectacular. lovedhe privacy andhe luxury of having our own pool, jacuzzi and sauna! make sure youakeimeo walk downohe beach for some breathtaking views of paroa bay onhe way (and stop for a wineasting ahe cellar door!). the manicured grounds are lovely andhere are lots of paths availableo explorehe vineyard. only a shordriveo russell, buwe really didn'needo/wano leavehe house! will definitely be back!","joy","positive"
"16","for wearyravelers from far away to land upon a blue oasis onhe bay, a feaswas had by all of us with garden views and sea below. our hearts and souls are filled with flow, of kiwi heaven, now we know! new zealand wine is very dear, buhe boles areoo small, we fear. although our boawas very near, cyclone hola kepus here! and with regrewe musdepart… bublue oasis has captured our heart!","joy","positive"
"17","if you're looking for food forhe soul - peace, tranquility, bush walks, views with onlyhe sound ofhe birds and bees,henhis accommodation is for you. a wonderful, self contained coage nestled privately onhe edge of native bush. stunning views fromhe deck and even from siing up in bed! a very well appointed coage with kitchenee, bathroom and comfortable beds. everything you needo makehis slice of heaven so enjoyable. owners, cathy and john are friendly and approachable. wanderhroughheir large country garden of vegetables and frui- a gardener's paradise. we will definitely be staying here again.","joy","positive"
"18","a beautiful property, super facilities with excellenlocal provisions provided by hosts - in our stay wine, cake, bread foroast, honey & milk. our family lovedhe pool andennis cour(althougho say we playedennis is stretching ia lot!)he local beach is quiewith beautifulurquoise waters (althoughhe sand isaupe coloured which i guess is common in nz). we also visitedhe nearby cheese shop and local winery cellar door which we're excellenoo. we'd loveo return & would recommend.!","unknown","positive"
"19","so loved our nigharachel’s b & b ....wished we could have stayed a lolonger ... a special place, quiet, peaceful ,ranquil ....so relaxing ...stunning views only interrupted by  gorgeous alpacas , equally photogenic !! spotlessly clean, comfortable bed, pillows,owels etc ...extremely well appointed .... loved siing outside listeningohe tuis inhe nearby bush ....unfortunately we had a biof rain bustill loved our visiohe stunning beach .... extremely good and well recommended ...hopeo revisiand will certainly be recommendingoravelling friends ... well-done rachael ....","joy","positive"
"20","city-bush retreais everything we could have hoped for.it's location is even beerhan we expected. iook us abou minso half an houro gehere from central auckland. iis located withinhe mosbeautiful nature reserve. there are neighbours buhe houses are all well secluded from each other by heavy bush/forest. iis located  mins drive fromhe centre ofhe small village of titirangi with a few cafes, argallery and local amenities such as doctors surgery and supermarket. iis also o  mins drive from a couple of prey lile quiebays/beaches. there are many other beaches within a shordrive. the property itself is very well furnished with jusaboueverything one could hope for. i have rented many rental properties for holidays inhe pasand i would sayhahis is abouhe besone i've ever rented.the owners reside inhe accommodation underneathhe rental property. i felhey aainedhe perfecbalance of being helpful and informative withouever intruding on ouprivacy. i fellhis property is priced slightly higherhan some others buhe cleanliness and overall quality ofhe property and it's location makes any lile extra expense morehan justified.would i recommendhis propertyo others... yes withouhesitation.","unknown","positive"
"21","this beautiful one bedroom apartmenis an absolute delight. spacious and airy with wrap-around deckso makehe besof sun (or shade) overlooking native bush. wonderful exotic feel yeonly  mins from cbd auckland and abouhe sameohe airport. the village of titirangi offers many coffee/eating opportunities and is easily walkable. immaculately clean with fully equipped kitchen and excellenshower. the charming budiscrete hosts are extremely helpful and have supplied jusaboueverything you could possibly need! from walking mapso hair dryer.","joy","positive"
"22","fromhe firsime we sawhe city bush retreawe wantedo stayhere. and iwas everything we hoped for-beautiful, restful, closeo both auckland and nature! plus ihas a waterfall and glow worms! we made a fire and read and listenedohe rain when irained, and enjoyedhe area, beaches. the place itself is filled with lighandhe smell of wood (lovedhat), with a beautiful full kitchen, a bedroom with views ofrees, and a light, modern bathroom. honestlyhis was one of our favorite placeshawe have rented.","unknown","positive"
"23","we stayed ahis beautiful coage for  nights and used ias a baseo visiauckland, beautiful waitakere ranges and piha beach. this warm, comfortable  story coage has everything you need for a self-contained stay. modern kitchen and breakfasprovided. delightful hoselke was friendly & helpful, provided walking /ourisinfo, books and cool nz movies (we had jusbeeno hobbiton so appreciated rewatching lord ofhe rings!) and yummy biscuits. i have given accommodation  stars however onlyhingo mention is although hosts were quie& very respectful of privacyhe coage was jusnexo main home, mospeople wouldn'care however if you were wanting a privately remote location imay be considerable. otherwise very happy.","joy","positive"
"24","lovely hosts,he whole family were helpful and friendly. well equipped coage with character. grealocation, so closeo glen eden restaurants, shops etc buaway fromhe hustle and seamongsbeautiful native bush, and nofar from piha.wish we could have stayed longer.","joy","positive"
"25","my daughter ( yrs), my husband and i have stayed inhis greacoage for one month and enjoyed every moment. elke, nik andheirwo grown children were really nice, warm-hearted, open-minded and helpful aanyime. onhe other hand,hey respected our privacy sohawe've hadhe feelingo live in our own lile coage with greacooperative neighbours. elke has helped us a lowith finding greaplaceso visior geing medical help nearby. the coage itself is a really unique placeo stay. situated abou minuteso auckland cbd inhe hearof a dense beautiful junglehe coage has everything which makes your stay prey convenient. the kitchen is well appointed with lots of cooking and baking accessories as well as some nice magazines nexo a flascreenelevision with greanature dvds. the wifi interneconnection was very stable and fast. nexohis,he coage has a niceerrace with a bbq, sun umbrellas and a buggy board. we've really appreciatedhe peace inhis place!! anighwe could hear fromimeoime a kiwi bird calling which was really special. there are some greabeaches nexohis place, with abou minutes by car. our favorite one was piha beach which is really an amazing locationo relax yourself, go for a run oro surf inhe high waves.we really recommendhis place because of its individual character and dueohe greahosts which have made our holidayo a greaexperience with lots of loving details like bringing us freshly catched and cooked fish or inviting us for an easter breakfasor pizza barbecue.","joy","positive"
