"","text","emotion","polarity"
"1","we have beenohis cafe severalimes overhe lascouple of years and loved it. the food is delicious andhe pies and pastries are made byhe proprietors. the staff are friendly and efficienandhe cafe is always immaculate . you can siinside or go ouhe backohe garden seing which is directly besidehe awanui river and has a wire fence aroundhe seating areao keephe ducks ouofhaarea. there are prey flowers planted andhe view ontohe river withhe local boats moored beautiful vista. we lovehe whole ambience ofhe place. the bathroom facilities are clean. would recommendo any locals orravellers byhemselves, couples or families/groups. well done and we will keep going back","joy","positive"
"2","this cafe is situated nexohe awanui river, outdoor seating overlookshe river. food is always good as ishe coffee, i had a iced chocolate for a change which was veryasty. young staff are very efficienand friendly, score /","joy","positive"
"3","iwas greawatchinghe pie maker make his pies. understandinghe difference between base pastry andop pastry, very flavorsome, friendly staff, greavalue, greacoffee","joy","neutral"
"4","my wife and i enjoyedhis place whilsravelling home south on state highway . whaamazing staff. the food was reasonably priced and so good. i lovedhahome cookedastehacomes from small ouohe way places likehis. keep iup guys.","joy","positive"
"5","consideringhis place is freeo gein (nomanyhings likehis are any more), it's a prey decenwayo have a break -he coffee was good, andhere is a wide range of kauri productso purchase. also lotso wander around looking a- fromhe carved kauri staircaseohe old man,ohe hug logs and stumps outside withheir questionable 'art' aached. worth a visit.","joy","neutral"
"6","greastop for lunch and wehoughhe prices were ok forhe pies, sausage rolls and cakes. the huge kaurireerunk inhe middle ofhe souvenir shop is amazing withhe carved oustaircase insidehe middle ofheree! the kauri wood souvenirs are made onhe premises ouhe back in a huge workshop and whilshey are priceyhe wood is over , years old!","surprise","neutral"
"7","we've hadake-aways from here a fewimes now and eaten in once orwiceoo. yum buer chicken, always prompand friendly service, quite often open when nothing else in kaeo is, and reasonably priced.","joy","positive"
"8","we stopped hereo have an early family dinner. the food was greaand was good value for money. the food arrived quickly andhe service was aentive. a greaplaceoake a break and have a good meal before driving on. will be back fore sure !","joy","positive"
"9","i was born in kaeo and overhe years have watched igo further and further into a slump. bubravoohe mad haers cafe - delightful decor,op quality coffee and delicious ginger crunch really friendly serviceoo.","anger","neutral"
"10","nice mad haer'sea partyheme inside and outside. friendly & service minded owner and staff serving a kind of home style cafe food. i hadheasty bacon & egg roll withhe local black pudding.","joy","negative"
"11","well back in kaeo again withhe whanau. already commented onhe coffee which is still jusas good now we haveriedhe food and haveo say yep its jusas good. sandwiches are fresh, cakes are lovely, bacon & egg roll with black pudding -op notch with a coffee forhe morning after a few beers andhe mealshemselvesake some geinghrough very large servings of whawe had for breakfasone morning, eggs benedicandheruck &railer. we were in keri and decidedo waiill we headed backo eawhich says iall.","joy","positive"
"12","we ordered a simple cappucino and aea. ilasted for almos minutes before we goour stuff. the cappucino did also noaste good. instead of saying ""sorry forhe delay""o every customer,ryo work efficient.","joy","neutral"
"13","we inundated kohukohu withhe tour of nz bike race passinghrough. this place mushaveurned aidy profiforhe day bucoped well. nice offerings.","unknown","negative"
"14","we came across onhe ferry andhere washis pubhaoffered greafood and friendly service. there were  placeso choose fromo siand eaor drink. i would recommendhe koke pub and cafe as a stopping poin- i can recommendhe mussels everyone enjoyedhem.","joy","positive"
"15","a reallyrendy outdoor café, really smarand could easily be in ponsonby or grey lynn. we loved our breakfasts andhe huge poofeahey gave us. location byhe harbour is great.","joy","positive"
"16","greavalue fish and chips. good for meeting or watching locals this place has character. band some nights. very central.","joy","positive"
"17","we stayed in kohukohu (or kokeohe locals) for  nights over new year so we were prey much regulars ahe pub for brunch, lunch and dinner. every meal we had was absolutelyop notch and especially enjoyedhe fresh flounder meal. even plain ol' chips in a bowl were really hot, crisp andasty. and all ofhe prices are morehan reasonable. inrue koke style,he service was really laid back and friendly. being summer we enjoyedhe outdoor vibe inhe sheltered outdoor area. the coffee was grea(unexpectedly so) and can say by farhe bescoffee we had in ourrip inhe far north... and in fache beswe had on our km roundrip from wellington! definitely stop by here for a biof local hospitality and awesome food (and if you come back morehan once, you won'be disappointed).","joy","positive"
"18","we stopped here en routeohe cape. lovely placeo sioutside, enjoy aop notch coffee and yummy food. constantly amazed ahe quality of lile cafés in new zealand!!","joy","positive"
"19","we drove down from kaitaiaohe rawene ferry and arrived around lunchtime with an houro kill beforehe nexferry. we'd seenhe sign forhe restauranfurther back uphe road and ilooked enticing although faded. the cafe is nopretentious andhe dining is al fresco buiis cute andhe food is really delicious. i had a very authentic and beautifully cooked moroccan chicken dish and my husband had fish and chips with salad, which was jusas excellent. we really enjoyedhisop. althoughhe place looks modest, so arehe prices andhe food is well worthhe visit.","unknown","positive"
"20","excellenasty food & very good coffee. some arand local craftworks exhibited. relaxing atmosphere with fantastic view. very kind and helpful staff.","joy","positive"
"21","this cafe is really in an old boashed. iis almosotally builover water. this gives isuper views overhe hokianga inlet.the decor is in keeping with its rustic image. if you have more modernastes don'lehis puyou offhe food and coffee is excellent. the choice is good from a snack of say a muffin or biscuit, breakfasor a fuller meal.we had breakfasscrambled eggs and mushrooms both on vogeloaswith coffee. my wife saidhe scrambled eggs werehe besshe had ever had and my mushroomsoo were excellent.iwas so good we wenbackhe nexday.","joy","positive"
"22","this is a grealile cafe withhe bescoffee, and delicious food. made onhe premises. the day we wereherehey were makingheir own chutney, wow did ismell good. the staff are so friendly, andhe service is great. don'passhrough rawene withoustopping ahis grealile cafe. keep uphe good work guys.","joy","positive"
"23","amazing staff, really friendly, variety of food noonly delicious bua+ presentation. musryhe pizza as yummo. bescoffee for miles. clean, artistic seing with a veranda overhe watero jusrelax and enjoy","joy","positive"
"24","we arrived onhe ferry acrossheranquil hokianga from kohukohu into rawene under blue, blue skies. and soon seled ourselves ontohe deck overhe water here with plates of simple well-cooked fare fromhe lovely ladies ofhe quirky and wonderful boatshed... thishankfully and blissfully remote parofhe northlands iso be savoured for its marvellous lack of commercialisation and its genuine beauty. fabulous...","surprise","positive"
