"","text","emotion","polarity"
"1","i actually live in awanui & i regularly purchase various pastries & sandwiches fromhis establishmen. i would definately recommend stopping abakerman cafe awanui !","joy","positive"
"2","pies are noas good ashey usedo be..i have visited quite a fewimes andhe pies are differenmosvisits...from runny gravy,ough meat, pastryhaisoo flakey, oroo greasy. have given up visitinghis establishment","joy","neutral"
"3","wenhere for coffee,ea and somethingo eat, buhey had run ouof english breakfasea (they had pepperminand earl grey) that's like a pub running ouof beer. the sign outside indicates ""greaservice"" ....hacould have been if one ofhe staff members botheredo walkhe  minutesohe local dairy and boughsomeea.","joy","neutral"
"4","we have beenohis place manyimes as weravel ofteno and from kaitaia. greastaff, greacoffee,he bespies and rocky road cakes, many ducks and a warm outside winter areao siin on a sunny day.","joy","negative"
"5","relaxing and friendly cafe, helpful staff, excellenpies and other meals. indoor and garden courseating, clean and comfortable.good variety of meals, deserts and drinks. nolicensed.","joy","positive"
"6","we were driving upohe cape and stopped here for breakfast. superb menu choice, greabreakfast, quickly served with a smile, delicious coffee. clean and welcoming.much beerhan ilooks fromhe outside andhere are very few other placeso eainhis area - so, ..strongly recommended!","unknown","positive"
"7","friendly welcome, greacoffee and a good meal. prey hardo mess up an all day brekkie, i know, buiwas great, fresh eggs and good bacon. greavalue all for underwenty dollars. busyoo, lots of locals all greeted by name, seemshe pies arehe main araction so maybe i willry one nexime.","joy","positive"
"8","we stopped here for lunch onhe recommendation ofhe owner agumdiggers. the pies wereasty and fresh.","unknown","positive"
"9","there is such beautiful works on display here, a stunning placeo visit. so worth of yourimeo stop in and browse","unknown","positive"
"10","had a coffee and good dae scone before walking around kauri kingdomo view amazing arts. goodourisstopover.","joy","positive"
"11","jusanother superb curry - authentic spice flavour never falters. we have recently sampled curry meals kaeoo blenheim and our favourite is spice grill in kaeo. thank you for consistently greacurry meals and friendly superb service. nigel & dale, whangaroa","joy","positive"
"12","i loveasty, ho& spicy indian food. simple needs andhey deliver on all notes making sureo make surehe lasorder was good or could be hoer as i requested. waiwas nolong and price reasonable forhese reasons i go back.","joy","positive"
"13","have come manyimes for lunch and dinner always very consistenfood with a high quality of ingredients. the service is greawith friendly staff . i would sayhe besindian restauraninown buits noitshe besindian restauranup north from whangareiohe cape . thanks sabi dorhw lovely meals you have given mw so far.","anger","positive"
"14","fantastic meal inhisinyown - onion bhaji's were perfecand good service. the food was very authentic and greavalue.","joy","positive"
"15","greacoffee food and service with a smile. doggie water bowl for my dogoo! always open when we passhrough kaeo.","unknown","positive"
"16","whaa nice lileea and coffee shop. its a greaplaceo breakhe road journey. staff are friendly and makeravellers feel very welcome. nice patio outside andhere is a giangarden seabeautifully decorated outside for a crazy photo opportunity.","joy","neutral"
"17","whaa cheerer-upper!he madhaers donna's cafe is a happy, well-run establishment, with a plethora of good food onhe black board menus; allhingso do with alice and the king of hearts and other odds n sods fromhe book; beautifully andastefully decorative. and i recommend my bnb guestso haveheir breakfasadonna's place, ratherhan amyable-hat's how good iis. open .-isho mid-afternoons. worth it's while!","joy","positive"
"18","stopped here for breakfaswithhe family.cooked breakfaswas served cold coffee didn'arrive until we were half wayhrough breakfaskey ingredients missed from whawas advertised in full breakfasstaff hadn'greaservice.the fried eggs were nocooked as requestedthe scrambled eggs wereastyprey disappointed withhis place and as suchhoughiwas over priced.i'd givehis place a miss and waio geoffhe ferry onhe other sideo eat.","unknown","negative"
"19","whaa stunning hideawayhis weeown is....iis well worth a look....juso experiencehe peace andranquility. a beautiful spoo enjoy an excellencappuccino.","joy","positive"
