"","text","emotion","polarity"
"1","we had a brillianguide, amber, for our big tongarip. she was greafun, giving us lots of information and made ia really greaday. wehoughwe mighstruggle with a four hourrip buwith a few breaks and esfor lunch we were absolutely fine.","unknown","positive"
"2","aaronhawas ourour guide was greafun very informative of local knowledge. evenho irained ididn'dampen our spirits","unknown","positive"
"3","we had an amazing full day kayaking abelasman withhe astro labe explorerour. our guide aaron was really knowledgeable and even provided entertainmeninhe form of riddles! he looked afterhe group wellhroughouhe day and ensured everyone was having a goodime. our highlighwas paddling pashe seals and seal pups aadele island. although lunch afisherman's island was also a greaexperience. we highly recommendhisrip! thanks again","surprise","negative"
"4","we did a whole day guided kayakour (big tonga marine reserve) with kaiteriteri kayaks and we absolutely loved it! we did a greaamounof kayaking, gocloseohe seals on tonga island, and saw some ofhe mosstunning lagoons inhis national park. i've beenohe abel tasman before and i definitelyhink kayaking ishe beswayo explorehis area!specialhanks goeso our guide amber, she was jusgreat! very experienced and always made us feel safe, she seemed likeheype of person who could make us survive on a deserted island for weeks ;-) she had greaknowledge ofhe area evenhough she's only beenhere since november and she always made sure we're having a goodime. ask for her as a guide if you can!","unknown","neutral"
"5","my wife and i had a wonderful dayoday withhe hearofhe parkrip. i have been a mountain guide for over  years so am very familiar withheype of work you do, having guidedhousands of people up rock and ice climbs all overhe world. i am writingo commend our guide, alex, who was simply superb. he is exactlyheype of guide who makeshe day well worthhe expense. his personalouch is lighand warm. he is very knowledgeable aboueverythingo do withhis area...geology, plants, wildlife, maori culture...etc...he made our day a superb one. he connected with everyone in our group and was available, presenand responsiveo everyone⊙s needs.in additiono being a climbing guide, i was also a school headmaster for many years and hired hundreds of educators duringhose years. alex is exactlyheype of person i was always looking for. you are very fortunateo have him representing your company.thanks again for a greaday and for aerrific guide. everyone representing your companyreated us so well! richard from moundeserisland, maine.","joy","positive"
"6","our guide scarlewas greain how she gave us direction andhe overview ofhe kayakrip. iwas a magnificenday, and we gently paddledo spliapple rock and back before a cruiseo anchorage for a walk and swim. weather was greawhich addedohe overall greaday","joy","neutral"
"7","we jushad a fantastic day onhe big tonga trip. amber was a fantastic guide, so keen enthusiastic, safety conscious! jushe righamounof information. we had a nice group of  who were all competent. greao goo seehe seals. a lovely paddleo sand fly bay where we had a refreshing swim. lunch was greanice rolls, apples andhe delish caramel slice and plunger coffee!!!kayaked upohe swing bridgehen a relaxed paddleo anchorage. this company has hihe jackpowith greastaff like amber.....evenhough she is canadian!! ....so competent, passionate and ensureshawe had an awesome day!! we sure did!!","joy","positive"
"8","had an awesomerip greaweather lucy our guide is an exceptional person, looked after usohe extreme including one seasickeenager.","unknown","neutral"
"9","had seals on our kayak and a very friendlyour guide. you see a loand geo eaa nice lunch provided. worth it!","unknown","positive"
"10","we didhe kayakrip called awaroa adventure, which wenfrom awaroao tonga bay. our guide, dan, was great! he showed us lots of nice spots alonghe way, and was friendly, helpful, & flexible.there wereons of seals, including babies, swimming around and puing on a show for us. we visited a lovely lagoon and tonga island. looking ahe area covered onhe map, i initiallyhoughherip mighbe a lileooiring, however iwas no problem. youake shorbreaks when looking around, plus stop for lunch. highly recommend if you wano see awaroa, tonga and seals.","joy","positive"
"11","my wife and iookhe hearofhe parkour which is a full dayour focused in hiking and kayaking. john from canada was a greaguide - very informative and personable. overallherip was enjoyable and well done, bui found ivery inefficient. theour lasted approximately  hours (: -:) buhe hiking and kayaking only lasted  hours ( hour hiking;  hours kayaking). seemed likehey could have easily increasedhe hikingime with a lile beer planning which would have resulted in a beer value.","unknown","positive"
"12","we didhe hearofhe park explorer dayrip. you geferried ouintohe park and dropped of aa beach where you begin you're unguided hike backowards bark bay where you meeagain with your guide andhe kayaks. the hike is prey moderate andook us lesshenwo hours. the hike affords greaviews, an opportunityo see some crazy plants and local birds. you also geamazing views of bark bay (where you meeup with your kayak and guide). bark bay is beautiful andhe water was pristine and clear. i spenaboua half hour swimming before i stopped forheasty lunch. after lunchhey had a quick review of equipmenand basic kayaking skills. there were a bunch of kayaks onhe beach, so i was nervous we were goingo be with a large group. they divide you into small groups of  double kayaks per  guide andhe make surehe differengroups are spaced ouforhe duration of your kayaking experience. the kayaking was pleasanwith views of seals and darting around rocks, inlets and lile islands. our guide was super helpful and really informative with information abouhe national park and other stuff inhe area. she was also greaamaking sure everyone inhe group was doing ok. after a few hours of kayaking we arrived in anchorage bay wherehe boapicked us up andhe other kaiteriteri kayakersoake us backo kaiteriteri. all in all a greaexperience.","surprise","neutral"
"13","my girlfriend and i didheherip which includes kayaking upohe edge of abel tasman national park andhe sea shule return from anchorage beach.we both absolutely loved it! thewo guides were local lads with loads of local knowlage and seemed very genuine guys.since doingherip we have been recomending io anyone who will listen! if we waso go back we would dohe bog marineripo tonga island.","unknown","positive"
"14","my husband, hishirty year old son and iookhe big tonga wateraxi/kayakour and had a greaime. isaac, ahe sales booth in kaiteriteri was so patiient, explaining allhe differenour options and helping us findhe besour for us. we opted forhe big tonga because i wantedo do more kayakinghan jusaroundhe local bay. iwashe perfecchoice. duringhe wateraxi rideohe beach, dozens of dolphins ""danced"" aroundhe boat, and for a shorime, escorted ushroughhe water. iwas amazing. bothhe guide andhe captain saidhawas nousual andhawe had goen a realreat. my husband, being an engineer, was fascinated byhe wateraxi andhe wayhey hadhe kayaks on a rotating rack, loweringhem intohe water. oncehe kayaks were unloaded, we all had a safety lesson and loaded up into ourwo man kayaks. i was with my husband busince his son was a solo, he was partnered withheour guide, a wonderful experience for him since he goo chawithhe guidehroughouheour. we paddled around a small island, seeing baby seals and learning abouhe history ofhe area. after a few hours, we landed aa small beach for lunch. i fully expected sandwiches, chips and fruit, so boy, was ihrilled whenhe meal was a gorgeous spread of gourmesalads, vegetables, fruiand gluten free options. wow! and iwas all served aa picnicable, noeating from our laps. firsclass for sure. we continued downhe coaso our final destination wherehe wateraxi was waitingoake us backo kaiteriteri. our guide was a native new zealander and she really knew her history and had personal storiesoell abougrowing up in new zealand. we allhoughhis was a greatour andhoroughly enjoyedhe entire day. we highly recommend iif you enjoy kayaking, nature and learning abouhe local area.","surprise","positive"
"15","did a full day royale with cheeserip. harley our guide was chilled ouand knew a loabouhe area andhe marine sealife. we paddled aboukm alonghe coast, had some seals playing around inhe water nexo us, saw some rare penguins and had lunch on an amazing beach. awesome value for money and in my opinionhe beswayo explorehe national park.","surprise","positive"
"16","the campsite was mobbed - almosarpaulinoarpaulin - i would recommend booking intohe privacy of a bach if you can afford it! the beach was busier onhe kaiteri sidehan on lile kaiteri","unknown","positive"
"17","lovehis place, noso much in winter busummerime it'sruly an amazing place. been coming here for over  years. it's a bimore commercialised now, buit's a lovely placeo come allhe same","surprise","positive"
"18","we wenon kayak and hikingours as we were only inown for a few days, buhe beach and surrounding area could entertain you for weeks. don;go if you're afraido gewet/ dirty-rekking and watersports arehe main forms of entertainment! the food is decent, bunoincredible withhe exception of 'the views' restaurant. a greaplaceo addo an nz itinerary","unknown","negative"
"19","there's so many beautiful beaches closeo kaiteriterihaare so much beer. kaiteri is wayoo crowded as unfortunately a loof wealthy families from christchurch flock over every summer. it's more of a fashionable location, where you would goo be seen.i preferhe surrounding beaches such as stephens bay & breaker bay.it's beautiful in winter however, beforehe crowds move in. october-november is my preferredime, as you can swim, buit's nowhere near as busy as inhe summer.","joy","negative"
"20","over-run withourists and locals alike. f you wansome peace with your beach, marahau andhe abel tasman national ishe much beer option.","unknown","negative"
"21","a greaplaceo sunbathe and swim. theown of kaiteriteri is quainwith a few good local restaurants.","joy","positive"
"22","highly recommended, awesome views with a loof activitieso do or you can jusenough laying onhe golden sandy beach.","unknown","positive"
"23","nice, quaincozy beach, with a million dollar view. perfecseingo relax or recover from your lasor nexadventure. plenty of parking and a cafe localhere","unknown","positive"
"24","too many campers & caravaners during peak holiday season i.e xmas & new year. well controlled caravan park security guards and controlled beach","unknown","positive"
"25","greadays of sailing and hiking in wintertime in abelasman park. iis very quieso you feel as if you havehe park for yourself!","unknown","positive"
"26","stuffed-up by wanna-be european 'business developers', buhe beach, sea, drive in and summer bikinis make istill worthwhile. is still a nice retreaon a calm winter's day, and a fun spofor younger folk.","unknown","positive"
"27","this beach would equal or beer in moscases your ""top beaches ofhe world"" !!!!!","surprise","positive"
"28","our family group of  includedwo young children,heir parents and grandparents. each of us were enthralled byhe experience andruly valuedhe cultural and historical lessons woven intohe paddle. my  year old granddaughter especially enjoyedhe ⊜waka salute⊝ we gaveo passing kayakers!","joy","positive"
"29","this is one of new zealand's mosbeautiful beaches. if you haven'been herehis is a must. if you have a boahen you will geo see many secluded beaches.","unknown","positive"
"30","this was booked for us as parof aour. we walkedhoughhe national park inhe morning and were picked up byhe boainsidehe park inhe afternoon.a very basic lunch was provided when we arrived.there were people already onhe boadoing a longerrip. byheime everyone was on boardhe large catamaran felquite overcrowded.the skipper and guide was a good sailor buan underwhelming guide. therip consisted of motoring ouo and island where perhaps  seals were visible, looking aa couple of beaches andhen sailing around for a while.","joy","positive"
"31","we stumbled across mark and his boahaving noplanned on doing it.we quickly changed our minds and he leus hang around forhe nexdeparture.he was kind enoughoake a lad for a ride who dueo his bad back wasn'ableo go onhe normal ride.mark was super informative ofhe area and could handle a boalike no other.he could crack a joke and swing a boat.","sadness","positive"
"32","mark madehis experience so rad. he really knows whahe's doing and howo make you feel comfortable. leus gesome greaphotos and jusoverall fantasticime! if you wano go jetboating,here really isn'any other option. you haveo see mark! thanks forhe sweeride!","joy","positive"
"33","this was one ofhe highlights of ourrip. mark was a fantastic guide/driver. his knowledge and love ofhe area was obvious.we had only four onherip and mark personalised ijusfor us. laughs,hrills, information and local knowledge. supporting local business. a definite musdo.","joy","positive"
