"","text","emotion","polarity"
"1","we wenonhe / day kayakingrip and was a greaexperience with beautiful weather and calm water. our guide was very helpful and wenhe extra mileo make everyone happy and feel welcome. therip was an ideal amounofime for our busy schedule yewe had enoughimeo relax and enjoyhe beautiful scenery.","joy","positive"
"2","we didhe full day kayakour starting from tonga, which includes wateraxi, a free pick up/returno our accommodation, and lunch. we were ableo see a few fur sealsand relax on an amazing beach. hannah was amazing! she was very informative, patient, and friendly.","joy","positive"
"3","good seup. we kayaked roundo spliapple whichook lessimehan i'dhought. had lunch onhe beach and a swim andhen kayaked round a bimore. differenwayoake inhe coasand enjoyable even for a land lubber like me.","joy","positive"
"4","highly recommendhe spliappleour. jeremy's competence and passion for guiding really shone! he's an excelleninstructor and gave us allhe confidence we neededo navigate some rough waters. scenery is gorgeous. tea and biscuits on a beautiful beachasted greaandherip home with wind aour backs was pure pleasure and wenby alloo quickly! thanks jeremy for a really memorable experience!","unknown","positive"
"5","the usually crowded kaiteriteri beach was almosempty onhe clear spring day when we arrived, peaceful and beautiful, could easily spend a dayhere, swimming or juswalking","unknown","positive"
"6","beautiful beach, nice lileown, various cruises offered. lists of vacation homes in upscale seing","unknown","positive"
"7","the mosbeautiful beach i have ever seen!!!! greaswimming, wateraxi'shapick you up fromhe beach and beautiful golden sand! this is a must if you goo kaiteriteri. everything you need is righhere, restaurants, mini supermarket/ice cream bar and a greafamily atmosphere!! safe and very well marked oufor swimming lanes, boating lanes and water skiing. above all,his is a beautiful spot","joy","neutral"
"8","the goodhing abouhis beach ishe free parking. the long curved beach slopes gentlyohe sea budoes noshelve of. greafor sun bathing, swimming or juswatchinghe world and boats. there areoilets and several cafes andrips centres","unknown","neutral"
"9","we arrived planningo walk and swim and ended upaking a  minute cruise ouo spliapple rock, a wonderfulributeohe force of nature which is perched on a pedestal of rocks jusoff a sandy beach","joy","negative"
"10","the beach is well supplied with cafes and facilities and has a loof small boaraffico make iinteresting. iis a kick off poinfor a loofours alonghe coast. the streamharan intohe beach seemedo be popular ashe waterhere was a lowarmer","joy","neutral"
"11","whaa stunning place! whaa secret. worthaking a biof a detouro gehere. the beach is amazing andhe adventurerips on offer are well worth it. iookhe kayakingrip and i was well impressed.","surprise","positive"
"12","lovedhis beach lots of room and friendly people who join in or welcome u/ur kids intoheir crickegames etc do haveo be careful ofhe boats anchoredhough. the chains can be a binasty if ur swimming aroundhaarea.","joy","positive"
"13","a beautiful beach with excellenswimming inhe blue seas. the rating is forhe beach -he ancillary features go do with sprucing up.","sadness","positive"
"14","whaa beautiful lile place. greafor organising boaoake youo other parts. good caravan park onhe beach. nice restaurant. beaupark forhe kids...they lovedhe flying fox. can'waio visiagain!","joy","positive"
"15","the accomodation was fantastic andhe area beautiful.","surprise","positive"
"16","this is a marvellous wayo experiencehe joy of sailing andhe wonderful abel tasman national park. the boats enable anyype of groupo experience nature up close and personal i can'recommendhisoo highly","joy","positive"
"17","i wensailing onhe evening and iwas absolutely amazingo watchhe sunseon a sailing boat. the view was amazing,he crew is experienand very friendly,he boais safe and iotally recommendhis experience!","joy","positive"
"18"," amazonerip with mark we were onlyhe two of us onhe boa, mark was amazing you do haveo bookhe all day sailling nous recommandons vivement","surprise","positive"
"19","i did a full day of sailing and goo see loads ofhe park! as well as so many beautiful beaches we saw seals (including super cute pups),wo lile blue penguins and heaps of sea birds.caroline inhe office was really helpful with questions and made booking super easy. the skipper fjord was greaand gave us loads of information and facts abouhe area andhe animals inhabiting it. he also sea really chilled atmosphere, i had a go asteeringhe boaaheiller as we could join in playing crew if we wanted, bualso enjoyed relaxing ouon deck and doing some sunbathing! iwas also greao gehe sails oufor mosofhe day ashe wind directions were perfect","sadness","positive"
"20","full day sailing in october on a windy day. our skipper madid an excellenjob. showed us some nice hidden estuaries, and whenhere were seals and pilowhales aroundook allheimeo leus enjoyhat. whenhe sun finally came out, weook ourime returning back, and we could all enjoy some addedime inhe sun.","joy","positive"
