"","text","emotion","polarity"
"1","we didhe dayour and loved it! our guide meg showed us some nice beaches and coves and explained allhe plants andrees. she did a greajob even as my girlfriend felmotion sick she kepgood mood up and brewed a freshea ouof local leaves (i don'rememberhe name) which helped hero recover ;). we fellike real maoris :d","disgust","positive"
"2","my wife and i didhe overnighdiscovery  dayour and i canhoroughly recommend it. we had an excellenguide and had a grearip.","unknown","positive"
"3","aaronhawas ourour guide was greafun very informative of local knowledge. evenho irained ididn'dampen our spirits","unknown","positive"
"4","we had an amazing full day kayaking abelasman withhe astro labe explorerour. our guide aaron was really knowledgeable and even provided entertainmeninhe form of riddles! he looked afterhe group wellhroughouhe day and ensured everyone was having a goodime. our highlighwas paddling pashe seals and seal pups aadele island. although lunch afisherman's island was also a greaexperience. we highly recommendhisrip! thanks again","surprise","negative"
"5","we had a morning of kayak fun paddlingo spliapple rock.anyone can dohis. nice views. doable coffee and cookies.","unknown","negative"
"6","had seals on our kayak and a very friendlyour guide. you see a loand geo eaa nice lunch provided. worth it!","unknown","positive"
"7","we were really luckyo have a very calm sea. the scenery is fantastic. our guide ashleigh was very good aguiding us andeaching us abouhe area. enjoyedhe morningea onhe beach.","joy","positive"
"8","we didhe hearofhe parkour yestetday. we felcomfortable and aeasehe wholeime. we were given roughimeso be aeach location and enjoyed havinghe freedomo make our own way oro stay nearhe guide.","unknown","negative"
"9","abelasman is a wonderful place and kayaking is jusa perfecand adventorous wayo enjoyhe national park.firsof all, checkhe weather since, as everyone knows, nzs weather may change. ask for john!! he is an extremelly friendly canadian dude, he will make your kayakingrip really interesting and whats more he willeach you xtreamechniques. thank you john!!gonzalo and santi","joy","positive"
"10","we were meby alex onhe beach akaiteriteri. he was extremely welcoming and knowledgeable. a shorbriefing and we were intohe kayaks. weook ahree hourour of some ofhe quiebays stopping asplitapple rocko enjoy a coffee and cookie onhe beach, kindly provided by alex and james. this was a wonderful wayo seehe coastline and both alex and james were excellenguides. highly recommended.","joy","positive"
"11","my friend and i had a niceime ouonhe sea kayak with mark as our guide andhree couples in our group. the kayaking was fun,he spots we checked ouwere neat, andhe instruction and safety was all in place.buwith a cloudy day, some strong breezes onhe water, and only  unmoving sealso see on tonga island,he day fela bilong (and expensive)o us. if ihad been hot, we could have gone swimming during our lunch break - ifhere had been more seals or wildlifeo see, we could have had somethingoell our friends abouafterwards. instead, iwas a chilly day onhe water (geing splashed byhe waves is less fun inhe cold!) and we did noreally warm up alunch, despitehe yummy sandwiches included.mark, our guide, was super nice andook good care of us onhe water. he could have had more informationo share abouhe park, ashere was a loofime we spenjuskind of milling aboulile lagoons andhings. we enjoyed working hardo paddlehe kayaks around inhe ocean - iisough work whenhere are small waves - bubyheime we were done withhe day we were morehan readyo be done.note: we had also juswalkedhe coastrackhe few days prior, which madehe area we kayaked less novelo us. some people we meonherail scheduled a kayakingrip inhe middle ofheir walk (on daywo of four) and wehoughhawas an excellenidea. so, if you are doinghe coastrack and lookingo kayak, see abouseing up a customrip inhe middle of your hike!","joy","neutral"
"12","serious fun was had by all of us. my son goseriously motion sick and our guides josh and koha were amazing and accommodating. very informative and kind! i would recommendhisouro moseveryone!","disgust","negative"
"13","this is aotal must do! the ocean, beaches, scenery is definitely quite spectacular and seeing all ofhis from a sea kayak wasotally awesome. very cool andvery fun. we didhewo person kayak for a couple hours and iwas very cool. you can go ayour own pace, stop alonghe way abeaches. was amazingly awesome!","surprise","neutral"
