"","text","emotion","polarity"
"1","righamongsherees hideshis resort. beautiful,ranquil and of such high standard. we had a lile apartmenover looking ouono kaiteriteri which was jusabsolutely gorgeous inhe day and by moonlight! the apartmenwas clean, spacious and had everything we could of needed! the beds had heated blankets, extra pillows, extra blankets, robes! the kitchenee has a kele, coffee filter,oaster, pots, pans, plates, utensils!he bathroom had a hairdryer, make up flannel, soaps, shampoo & conditioner - honestly everything was catered for in our eyes. reception were helpful and showed us allhe resorhado offer withherackshashowed offheir wildlife and peaceful surroundings;he aqua centre which had a pool, houb, sauna and steam room. there was loadso do jusamongshe resoritself.breakfaswas included,here was a selection of fruits, nuts, breads and cereal available bui didn?ä?feel quite as full up as i would have hoped. they are a vegetarian resorso don?ä?expecany meaonhe menu which was find for us.this place is absolutely incredible and really refreshingo stay at. iis quite hilly in partso geo your accommodation buhais a small hinderance insighof allhe views you gefor it! my partner and myself really lovedhis resort.","anger","positive"
"2","this was a greaplaceo stay...our place was spacious, clean and comfortable. they even helped us geouearlyhe nexday by arrangingo have our breakfasseno our room. wish our stay could have been longer.","joy","positive"
"3","jusso peaceful,away fromhe bustle of kaiteriteri. comfy, clean, well equipped room with balcony and fabulous views. totally relaxing spa facilities and delicious vegetarian meal and breakfast. pleasant, helpful staff.","unknown","positive"
"4","spenwo nights here. had a nice big room aheop ofhe site with fantastic views overhe bay. awo room apartmenwith siing room and kitchen area, with balcony withhe view, a big bathroom and bedroom. nice and quiet, clean and nicely done. the pool is excellenand big with jacuzzi as well. staff were brillianand very friendly. breakfasgood as well. we really likedhis place.","joy","positive"
"5","quieand relaxing. greapool facilities and spa. all staff amazing and friendly. neither my husband or i are vegetarians buwe enjoyed dined imes athe views and lovedhe quality of food and service.","joy","positive"
"6","we arrived a lile stressed from a long drive burelaxed as soon as we entered our spacious room and sawhe beautiful view. the woman areceptionold us abouhe path for walkingoown, which wenby our door. she also helped us plan a boarip forhe nexdayhawould drop us off so we could walk onhe abel tasman coastal track.there's a large umbrella outside each unioake when walking on rainy days. the breakfaswas healthy and delicious, in a lovely room with expansive views. i had scheduled a massage.. i have back problems so i have had many massages, andhis one was excellent!we enjoyedhe beautiful, peaceful seing of kimi ora and wished we had plannedo stay longer.","joy","positive"
"7","by farhe besplace i've stayed at. the staff are super friendly andhere's such a homely feelohe place. so mucho do here and it's wonderful. the breakfaswas super cute andhe restauranwas gorgeous. beautiful placeo relax and unwind. already made planso come back here with my partner inhe summer for a few nights ashere's so mucho do herehawe couldn'fiiin in one night.","joy","positive"
"8","we were jusgoinghroughown and bookedhis place. upon arrival we wishhis was our destination. and we wish we had our kids with us. there is so mucho do and iwas jusbeautiful! i sure will make a plano come back some day!","unknown","positive"
"9","a lovely resorwith fabulous views, vegeterian restauran& greaservice. the spa has lots of optionso be pampered & relax plus walkingracks & other activities on offer - i will definitely be back!","unknown","positive"
"10","great, spacious cabins with kitchenees, houb and bathroom,hough nosure abouhe alpine feel (lots of wood)ohe cabins. minor leaks in main restauranbuilding and swimming pool. painting and mural in swimming pool is looking a lileiredoo. i imagine iwas builinhe s and whilshaving money spenon modernizing (veg garden providing mosofhe ingredientso restaurant, solar panels, vineyard) noenough aention spenon maintenance and maintaining quality. staff friendly and helpful and willingo hear abouissues (minor leaks) bulackinghe leadership from managemeno deal with all issues, ie leaks.ohose in charge, geisorted! :)","joy","positive"
