"","text","emotion","polarity"
"1","the location was nice, buhe service was jusweird. we waited hours for dinner,he cabin we were puin was wayoo large for our needs and noconsistenwith whawe requested. there was a loof noise from adjoining campsites and people were constantlyromping back and forth across our lawn.","unknown","positive"
"2","rooms have been renovated with even more comfortable bedshan before. this is really a boutique placeo stay andhey walkheiralk allhe way from eco friendly bath soapo healthy meals. rooms have a fabulous view andhere is heaps of privacy from your rooms noo mention heated pool, sauna and spa.neighbours belowhe resorpartied for one nighwith rather loud music andalking. otherwise, iwas quiehe otherwo nights.","joy","positive"
"3","kimi ora resoris a lovely placeo stay with stunning views over kaiteriteri. we stayhere a minimum ofwice a year with one of our stays being aleas or so days. the resorhas various amenitieso utilise for guests alongside a continental breakfasduring your stay. there is also a lovely lile beauty spa boutique on site which offers services such as, body wraps, facials and massages. we would highly recommendhis placeo stay or even jusvisias a day guest.","unknown","positive"
"4","this spois beerhan wehoughupon our arrival. iwas further fromhe beachhan we expected buhahad its up side.iwas so quiewhereas overhe xmas breakhe beach fronis kaos. the views from our chalewhere superb. the views fromhe retardanoo great. pools were kepclean and our chalewas servicedo a very high standard each day. my partner was doubtful of enjoying a vegetarian xmas dinner buffebuactually found ithis delicious. daily continentail brekkie healthy and plentiful. a greabaseo explorehe park and surrounds. includinghe intimate surrounds ofhe resorgloworws andracks etc. we recommendhis greaspoin nz.","anger","positive"
"5","three of us stayed ahe kimi ora before our abel tasmanrip. we had aotal ofhree nights,  before and  after. truly enjoyed every minute of our stay. the staff were all very kind and helpful. we arrived after hours, which was noa problem. they juslefhe room key oufor us. glad we had a full dayo enjoyhe resort, otherwise may have felcheated :) we will definitely be back, i know my family would love it. thank you again for a fabulousime! really appreciatedhe breakfaswhich was included and we lovedhe restauranfor dinner also.","joy","positive"
"6","we stayed one nighduring our south islandour. the location andhe view is fantastic. our one bed roomed apartmenas a whole was very spacious and clean. there was an extra bed inhe lobby area for relaxing. no microwave oven or conventional oven inhe pantry. two burner cooker,kele and refrigerator were available.there is a common laundry areaoo. food served inhe restauranis vegetarian. the continental breakfasis included,which had a good selection of fruits and nuts. ideal location for a relaxing holiday. i would definitely come back.","anger","positive"
"7","fabulousucked away location ,very private units with greaviews over estuary andhen beach. closeo walking and bikingracks units very roomy and comfortable- greadeck with awning andable and chairs. beautiful vegetarian meals and good variety for buffebreakfast. pool and spas clean and in good order andhe massage we had was great. lived upo all expectations and can highly recommend kimi ora!","joy","positive"
"8","my wife & i stayed here while we cameoour abel tasman park. the lile beach & it's businesses were perfecfor our wants andhis retreawas juswhawe wanted! up onhe hill jusoffhe beach we werereatedo a gorgeous view, healthy breakfasand a cozy room!","unknown","positive"
"9","we stayed in a spa suite and iwas lovely; nice, spacious balcony and equipped with everything we needed. breakfaswas delicious andhe facilities were clean. the staff are excellenand always happyo help. we would definitely stay here again.","unknown","positive"
"10","we wena couple of days in kaiteriteri . the hotel is well kept, maybehe spa was a biold and needed of some updating buhe hotel was charming andhe people very kind.maybe breakfaswasoo vegi. they wereaking care aboueverything we needed.also some good recomendations abouvessel excursions and restaurants nearby. quieplace andotally reconmendable.","joy","positive"
"11","me and my partner wenin winterime so iwas very quiet,o be honesi had read other reviews and doubted how good iwould be. iwas very quieas iwas is winterime however i likedhis ashere was no other guests. isaid onhe websitehahe pool and spa would nobe open however anighweook a walk aroundhe resorand discovered io be open, spa pool and all!! iwas perfecwhole placeo ourselves and sauna spa were in really good condition. service was strange ashere appearedo be no receptionisonly an envelope with our key, laterhanighwe goa call fromhe manager i believe, making sure we had seled in ok, room was clean and had amazing views!!! ( restauranwas noopen in winter season)","joy","positive"
