"","text","emotion","polarity"
"1","came here early evening with a group of abou people, we all ordered pizzas and beer andhey were awesome! the staff were really friendly andhe vibe outside was so good.","joy","positive"
"2","our food was so scaered, only one meal came within half and hour hado go and ask abouour other meals  minutes later our other  meals came. such a disappointment. noworth it.","unknown","negative"
"3","decidedo eahere as iwashe 'other placeo eaakaiteriteri'. the staff weren'really onhe ball and service was slow, both fromhe waiters andhe kitchen. we hado waian hour for our meals. once deliveredhey were of very average quality, appearance andaste. has a courtyard which holdshe afternoon sun which was quite niceo siin,he only positive note for our visit.","unknown","neutral"
"4","me and my companions felquite pressured upon us arrivingo order. my friend was unsure if he should feel aroused or scared.he food was a good size. our food was prompand fasexcepone of my friends meal whichook  minutes. noeven busy. other customers goheir food firsalthough we gohere beforehem.he ferry ride across from blenheim was very bumpy which resulted in us being vomited on my a  year old child.he seagulls also hated us.his builup our hunger for a good meal buwe were partially ledown by feeling pressured. live band was disappointing as no one performed. food was good, i canpay renfor  weeks now. :)","joy","negative"
"5","thanks very much for a lovely evening, food very good and reasonable. quick service with a smile, all helped along by some grealive music :).","joy","positive"
"6","terrible service , good food. $ for small hawaiian pizza buasted good. only bar inown andhey know it...","joy","negative"
"7","asked for aaste ofhe local draft. told ""noour policy"" long waifor food which was very average. we come here every year and hardly ever goohis pub. tonighreinforced why.","unknown","negative"
"8","awesome bar staff, grealive music. greapizza and good choice onhe alacarte menu, we had lile biof everything and really enjoyed it.","joy","neutral"
"9","myself and my fiancé wenhere after a long day of kayaking aroundhe beautiful abel tasman. we arrivedo findhere werewo quite large parties already so hado sioutside, ok..thenriedo order buold iwouldake over an hour and a half for any food, ok...buif we gopizza iwouldake mins. we go pizzas for $,hey came ouwithin mins. they were a combination of disgusting and flavourless! lef/ and wenhome hungry and poorer for it. never again!","disgust","negative"
"10","myself and my fiancé wenhere after a long day of kayaking aroundhe beautiful abel tasman. we arrivedo findhere werewo quite large parties already so hado sioutside, ok..thenriedo order buold iwouldake over an hour and a half for any food, ok...buif we gopizza iwouldake mins. we go pizzas for $,hey came ouwithin mins. they were a combination of disgusting and flavourless! lef/ and wenhome hungry and poorer for it. never again!","disgust","negative"
"11","as a family we wendownohe beached whale. the place was packed full and buzzing. we haf pizzas buo be fairhey were a biaverage.","unknown","positive"
"12","restauranwas recommended by our accomodation. we were advised a reservation would be sensible made a specialrip alunchtimeo reserve aable (thawas wrien inhe diary) buwhen we arrivedhaevening noable was laid up or reserved. fortunately quickly resolved as very busy bunofullohe brim starters were good, main 'special ofhe day' average for whawe had (food & wine) didn'feel iwas greavalue for money","joy","neutral"
"13","goes so well withhe food no maer if it's weor fine you juscan'beahis a greaplaceo eaor drink evens if it's only for a coffee","unknown","neutral"
"14","$ for whawas essential  mcdonalds pancakes (being generous seeing as maccas hotcakes are bigger). burger was bland withhe paies wayoo small, if you aren'willingo make bigger paies jusbuy smaller buns. service was average bureceived no apology when i voiced our complainand no mention of an apology when we weno pay. they have a grealocation and a lovely looking restauranbuhave failed ahe single mosimportanparhe food.","unknown","negative"
"15","govery excited looking ahe menu andhe food did nodisappoint,however.....were noold aboua possible waiime onhe food (onlywoakeaway burgers and one x onion rings). minutes later, after seeing mosother people have a complainohe incredibly rude and seemingly uncaring serving staff, i inquired if our food was far away.withoua wordhe girl wenand goour order (god knows how long ihad actually been ready) and offered imy way. iakes a lofor meo say something buioldhem how unimpressed i was. no apology and a seriously poor excuse. iwas friday night. no kidding! you should knowhaalready!!a real shame as i will nogo back forhe good food dueohe service. i⊙m goneburger....","sadness","neutral"
"16","food good,service poor,he wayhe lady onheill spokeo customers was extremely poor, noa good look. for such a neaspoiwas seriously disappointing, she spokeo me fine bui witnessed her rudenessowards  other customers.","joy","negative"
"17","afterwo dining experiences i⊙d haveo say i⊙m embarrassedo call myself a new zealander. the area is an iconic, pristine national park of new zealand & when hundreds ofourists a day, day after day come offhe sea shules fromhe abel tasman national park walk & order a coffee or meal - well whadohey receive? our experience would suggespoor service, untrained staff & extremely badable service relativeohe pricey menu. overall iscreams of inexperienced managemenin hospitality & an unwillingness withino realiseheir shortcomings in a very busy marke- which is one of nz⊙s gems! we⊙ve been comingohe area for over  years & wannothing morehano seeourists & locals given a quality kiwi experience.","joy","negative"
"18","we wenhere imes during our stay and had some nice drinks akai onhe deck. they seemo have some staffing problems iook so longo ge beers andhenhe paying process was another big delay! musjusberaining staffime astarof season! gosome nice/ a coffees, rich and goodasting.tonighwe had fish and chips. generous , quite delicious and we were ableo eaionhe deck with a drink. nosure whyhe baer is so yellow in colour...didn⊙look greabuasted fine! the chips were crunchy and delish. this ishe besspoinown whether it⊙s having a drink and looking ahe view or geing your coffee andakeaway....jusa few service problemso iron out!","unknown","positive"
"19","customer service was really good, bui was so disappointed inhe milkshakehaarrived ibroke my heart. super watery, i'm noconvincedhaiwas anything morehan raspberries mixed with milk and chipped ice. aleashey used real raspberries,hough.","joy","positive"
"20","waited  mins for a scoop ,  fish and some chicken nuggets. when we finally goour order iwas missing one fish ,he fish we had was burnand was missing some nuggets. byheime we gohe missing fishhe resofhe order was cold!","unknown","neutral"
"21","iwasn'habusy buhe cook seemedo be completely unableo do morehan onehing aonce. unbelievably slow (and surly) service was backed up by mostly inedible fries which were more greasehan anything else. possiblyhe worsakeaways i have ever experienced.","unknown","negative"
"22","we placed a large order apmo colleclater. iwas finally ready  mins afterhe dueime, however when we returnedohe motel we realisedhe salads were missing so returnedo collechem. once bank again we openedhe papero findhe fish was missing - back we wenagain. the girl ahe froncounter was prey flustered by all ofhe complaints cominghrough -hey really need more staff. aside fromhahe burgers were great.","joy","neutral"
"23","unbelievably slow,  minute wait, chips cooked firsand lefon hatchway while resof orders cooked, burger prices were a biof a joke, $ for cheese burger which is fine buhen if you wananything else on ihe price jumpso $/$,, donfigure. noso friendly fronof house staff","joy","neutral"
"24","i atehe pretentious cow burger - iwas fantastic. this is noa restauran- iis jusake away burgers. geone and walk acrosshe roadohe beach.","fear","negative"
"25","we ate here on  consecutive evenings during our stay ahe reserve apartments. althoughhe food was good, service was very dependenon which staff were looking after you. some were very good others needed a nudge - could i have a menu please or can i order please ashey were noaall aentive. iwas pleasanenjoyinging you foof looking across ahe tasman sea.","joy","positive"
"26","noonly ishis a wonderful campground. bua beautiful place in general. mostly operating by honesty payments, beautiful facilities and areverywhere. the campgrounds are surrounded by gardens and flowers and righbyhe beach.","surprise","positive"
"27","one ofhe bespizzas i have ever had. the cow shed was recommended⊋ by local. i hadhe vegetable supreme and my husband hadhe meafeast. the cruswas delicious, and i lovedhe addition ofoasted seeds on mine.the desserts looked amazing.","fear","positive"
"28","welcoming hosts, lovely pizza, place is byo buwe hadhe water and discovered we didn'need alcohol!! small indoor space, shamehe weather wasn'beer as siing ouinhe leafy garden would have been very cool. recommendhis place - doing something simple and doing iwell!! :) :)","unknown","neutral"
"29","thisiny lile restauranucked away offhe road serveshe bespizza inhe world. bring your own wine, even beer. jusgo andry it, please!","joy","positive"
"30","the service is charming andhe quality ofhe food is excellenbuhe huge portions are impossible for an average humano consume.","unknown","negative"
"31","the cow shed restauranis a lile oasis of fine dining. we had a superb meal surrounded by interesting people. iis a byo andhis gave ushe opportunityoake our favourite brand. the hosts are friendly and very welcoming. can highly recommend a visit. rosemary and stephen","fear","positive"
