"","text","emotion","polarity"
"1","greacoffee made exactly how i like it! my husband goone ofhe smoothies bawls and ilooked andested delicious! thank you girls!","joy","positive"
"2","we loved everything ahe mermaid⊙s beach house! organic, gluten free, dairy free and raffined sugar free, the smoothies,he wraps,he pitas,he organic coffee, everything she is cooking is delicious ! we atehere every morning and lunch for all our stay!","unknown","positive"
"3","if you havenbeen here already you absolutely needo. the smoothie bowls are unreal- nothing else like iin kaiteriteri- alternative and natural","joy","neutral"
"4","the restauranis situated on a hill overlooking kaiterteri andhe view is fantastic. this vegetarian restauranhas a nice selection. we had breakfast, pizza and salad, indian dahl, and vegetable stack and all was very good. the staff is very nice buyou beer have a reservation and are noin a rush. i did notice some guests geing a biimpatiensince icanake a whileo be ableo order. ilooks like all orders for food and drink haveo gohru one andhe same person. otherwisehe restaurant,he surroundings andhe rooms are all immaculately maintained.","joy","positive"
"5","the continental breakfasts have quality food and you can'possibly eaeverything on offer. new chef and menu fromwo years earlierranslates into some mouth watering itemso choose from and enjoy. although noa fan of pizza i haveo sayhamy mate's pizza was yummy and we enjoyed some of ihe nexday for lunch as iwas so big. some good presentations and clearly a loof care goes intohe dinners.","joy","positive"
"6","this place is fabulous! dinner was outstandingly fresh and delicious, options for all, evenhe non-vegetarians in our family of  said iwasheir favorite meal in  weeks of south islandravel. the views were gorgeous,he ambiance was peaceful,he service was friendly. highly, highly recommend!","joy","positive"
"7","really nice menu, nohe widesvariety, buforhe price: greafood in a beautiful seing. greawineoo!","unknown","positive"
"8","we foundhe publican ofhis pubo be very friendly, accommodating and empathetic. specially when icameo food intolerance. they willryheir beso make sure food is gluten free if requested. we foundhe atmosphere friendly andhe food generous and well priced.","joy","positive"
"9","ok buvery ordinary and unimaginative. service was ok, food mediocre and value fair. pleasanoutsideerrace buiall lookedired and noclean.","unknown","neutral"
"10","it's a local fav and aourisfavorite as well. we lovedhe crafbeers, andasty food. greaservice andhe owner is arue professional who knows howo run a restauran& bar.","joy","neutral"
"11","we booked aableo watchhe rugby and have dinner. we ordered a pie which was bland andasteless and a veg pizza which was floppy and doughy and again prey bland. dishes were lefonable for ages before being cleared!","unknown","negative"
"12","we hadhree meals here during our stay in kaiteri. the food was greaandhe staff were always friendly. would recommend! greapizzas!!","joy","positive"
"13","i'm super impressed withhis restaurant/bar.greaselection of food and lovely staff. my meal was delicious.iwas pouring with rain onhe nighwe wenandhe motel we stayed aranghrough, booked ourable and arranged a lifback for us -his is noa servicehahe owners of the beached whale normally provide.i've noexperiencedhis kind of service anywhere else (unless you pay).well done. i'll be back","joy","positive"
"14","service with a smile - orderhe roaslamb pizza and you wonbe disappointed bon appetit!","joy","neutral"
"15","ate here on rd, lamb pizza and baskeof fries. pizza came quick buwasasteless, supposedo have jalapeños buwasn'spicy. chips were jusfrozen steak fries so nothing special. can'commenon other items on menu buwe wouldn'be rush backo eahere!!","joy","positive"
"16","you know you're inrouble whenhe waitress says check google when you ask aboufood onhe menu. they mixed up our food order which wasn'a big deal. the food was mediocre forhe price. selinghe bill was a joke as we hado goohe counter and detail everything we ate in order forhemo find our bill. iook almosen minuteso selehe billhis way! very complacenbusiness with no competition inhe area.","unknown","negative"
"17","visited aaround . pm, after a day ahe abel tasman. only one poor guyryingoake all orders (there were abou people waitingo be served) and cook allhe orders.... no other staffo be seen. someone came in from cafe nexdoor yelling ouo find wherehe other staff member was. no-oneurned up for abou mins. woman showed up,ook ordershen left. poor guy was lefalone again,o process abou meals... phone was ringing offhe hook..he wholehing was very awkward.  mins later we goour order (luckily we werehe firso order ofhe load of people). burgers were prey average, spring rolls weren'cooked long enough... soggy and pale. chips were nice. we jusfelerribly sorry forhe young manryingo holdhe wholehingogether on his own. appallingo be running a food business in one ofhe busiesourisdestinations inhe world and only have one poor staff memberryingo do everything.... gone burgers will be gone burgers ifhey don'pull upheir socks and sharpenheir act.","sadness","neutral"
"18","greaburgers. service was a lile slow ashere was only one person both serving and cooking buhey were worthhe wait!","unknown","negative"
"19","really good service, waiwasn'long aall considering how many people comeohis place. burgers were pricy buworth it, haven'ried anything as yummy! good scoop of chips and would definitely come again. thanks guys","joy","positive"
"20","greaburgers, good service and quickasty food onhe beach. nice simple menu with a good range of choices (nojusburgers). happy withhe price.does whaisays onhein.","joy","positive"
"21","we ordered  beef burgers and chips fromhisakeaway.the service, chips, buns and salad were all fine bui don'hink i have ever had a worse beef burger, andhis was nojusdownohe cooking. the burger was watery andasted of non meafilling, no meaflavour aall. iwas so sofhaif youriedo pick iup jushe piece between your fingers moved, you expeca burgero hold in one piece nobehave like a liquid.the staff were clearly working very hardo keep up with constanflow of customers. the owners should bewarehaifhe burgers don'improve very quicklyhey will nobe busy for very long.","joy","neutral"
"22","had a burger here lassaturday night,he burger wasasty very fresh and well priced, would absolutely eahere again and who wouldn't, withhe stunning beach jusoverhe roado enjoy aasty burger in peace, perfect.","joy","positive"
"23","stayedhe nighin a self contained unit. excellenservice. clean amenities and greafood ahe the cow shed cafe. bespizza i've had for awhile andhe vanilla plumrifle was sensational. a credio phil and his family.","fear","positive"
"24","we ate here both nights we stayed in murchison. the pizzas were delightful as werehe alternative dishes. service was secondo none and phil was a lovely guy who made a poinof remembering everyone's name andhen using it. idoes gevery busy and philries hardo accommodate everyone,he firsnighwe hado go away and return later. ourable still wasn'ready buwe had a drink outside and iwas a small priceo pay forhe meal wehen enjoyed. knowinghawe were returning  weeks later we booked aable forhanighas well. when we returnedheable washere waiting for us with our names on it. my advice iso make sure you book well in advance and evenhen be preparedo wai- its worth it.","unknown","neutral"
